m'ahohoahoa;my pleasure
mackerel a wɔfrɛ no mackerel;mackerel
macro;macro
macro- .;macro-
macrocephalic a ɛyɛ kɛse;macrocephalic
macrocephaly a ɛyɛ kɛse;macrocephaly
macrocyte a ɛma nipadua no yɛ kɛse;macrocyte
macroelement a ɛyɛ kɛse;macroelement
macromolecules a ɛyɛ kɛse;macromolecule
macron a wɔde yɛ adwuma;macron
macrophage a ɛyɛ kɛse;macrophage
macrophyte a ɛyɛ kɛse;macrophyte
macroscopic a wɔde hwɛ ade kɛse;macroscopic
macuahuitl na ɛwɔ hɔ;macuahuitl
macular degeneration a ɛyɛ mmerɛw;macular degeneration
madagascar;Madagascar
madam;madam
madapolam a wɔfrɛ no madapolam;madapolam
madden;madden
madder;madder
madeleine a wɔde yɛ adwuma;madeleine
madi mfe aduonu;I'm twenty years old
madras na ɛwɔ hɔ;Madras
madrid;Madrid
madrigal a wɔfrɛ no madrigal;madrigal
madrileniani a ɔyɛ ɔkyerɛwfo;Madrilenian
madriz na ɔkyerɛwee;Madriz
maelstrom a ɛyɛ hu;maelstrom
maenad;maenad
maestro na ɔkyerɛwee;maestro
mafe wo;I miss you
mafia;mafia
mafioso na ɔkyerɛwee;Mafioso
magadan;Magadan
magas;Magas
magasin;magazine
magdalene;Magdalene
magdeburg na ɔkyerɛwee;Magdeburg
magellan asubɔnten a ɛwɔ asubɔnten no mu;Strait of Magellan
magellan na ɔkyerɛwee;Magellan
magenta a ɛyɛ fɛ;magenta
maghreb na ɛwɔ hɔ;Maghreb
maghrebi kasa;Maghrebi
magifo;Magi
magister, ɔkyerɛwfo;magister
magma;magma
magma dan mu;magma chamber
magmatic a ɛyɛ nwonwa;magmatic
magna carta a wɔde di dwuma;Magna Carta
magna graecia na ɔkyerɛwee;Magna Graecia
magnate a ɔyɛ adwumaden;magnate
magnesium a wɔde yɛ adwuma;magnesium
magnesium oxide a wɔde yɛ adwuma;magnesium oxide
magnet;magnet
magnetar a wɔde yɛ adwuma;magnetar
magnetic a ɛyɛ adwuma;magnetic
magnetic bere a wɔde yɛ adwuma;magnetic moment
magnetic field a ɛyɛ adwuma;magnetic field
magnetic tape a wɔde yɛ nneɛma;magnetic tape
magnetism a ɛma nneɛma yɛ kɛse;magnetism
magnetite a wɔde yɛ adwuma;magnetite
magnetization a wɔde yɛ adwuma;magnetization
magnetize a wɔde yɛ adwuma;magnetize
magnetometer a wɔde kyerɛ sɛnea nneɛma te;magnetometer
magnetosphere a ɛyɛ fɛ;magnetosphere
magnitogorsk a ɛwɔ hɔ;Magnitogorsk
magnocellular a ɛyɛ kɛse;magnocellular
magnoliids a wɔfrɛ no magnoliids;magnoliids
magnum opus a ɛyɛ adwuma;magnum opus
magpie a wɔfrɛ no magpie;magpie
magpie-ɔkraman a wɔfrɛ no magpie-goose;magpie-goose
maharaja na ɔkyerɛwee;maharaja
maharashtra na ɛwɔ hɔ;Maharashtra
mahjong;mahjong
mahogany a wɔde yɛ aduan;mahogany
mahoraisfo na wɔte saa;Mahorais
mahoran na ɔkyerɛwee;Mahoran
mahout;mahout
mahye me ho;I've burned myself
mail a wɔde mena;mail
maim;maim
maine na ɛwɔ hɔ;Maine
mainframe a wɔde di dwuma;mainframe
mainmast a wɔde di dwuma;mainmast
mainstream;mainstream
mainz;Mainz
majorca na ɛwɔ hɔ;Majorca
majordomo a ɛyɛ kɛse;majordomo
majorette a ɛyɛ fɛ;majorette
majuro na ɔkyerɛwee;Majuro
make out;make out
make-up adwumfo;make-up artist
makedonia;Macedonia
makedonia kasa;Macedonian
makemake yɛ;Makemake
makhachkala na ɔkyerɛwee;Makhachkala
makhorka;makhorka
mako;pepper
mako;spicy
malabo;Malabo
malachite a wɔde yɛ nneɛma;malachite
malacology ho adesua;malacology
maladroit a ɛnyɛ adwuma;maladroit
malagan na ɔkyerɛwee;Malagan
malagasy kasa;Malagasy
malaise a ɛyɛ mmerɛw;malaise
malaki;Malachi
malanga;malanga
malapropism a wɔde di dwuma ɔkwammɔne so;malapropism
malarkey a wɔfrɛ no malarkey;malarkey
malawi;Malawi
malawi kasa;Malawian
malay kasa;Malay
malayalam kasa mu;Malayalam
malaysia;Malaysia
malaysiafo kasa;Malaysian
maldives na ɛwɔ hɔ;Maldives
maldivifo kasa;Maldivian
maleficent a ɛyɛ bɔne;maleficent
malfeasance a wɔde yɛ adwuma;malfeasance
mali;Mali
malic acid a wɔde yɛ aduru;malic acid
malifo;Malian
mallard a wɔfrɛ no mallard;mallard
mallarméan na ɔkyerɛwee;Mallarméan
malleability a ɛyɛ mmerɛw;malleability
malleable a ɛyɛ mmerɛw;malleable
malleableness a ɛyɛ mmerɛw;malleableness
malleate a ɛyɛ den;malleate
mallet;mallet
malleus a wɔfrɛ no malleus;malleus
mallow a ɛyɛ mallow;mallow
malt a wɔde yɛ adwuma;malt
malt whisky a wɔde yɛ adwuma;malt whisky
malta;Malta
malta kasa;Maltese
maltodextrin a wɔde di dwuma;maltodextrin
maltose a wɔfrɛ no maltose;maltose
maltotriose a wɔde di dwuma;maltotriose
malware a wɔde di dwuma;malware
maléku jaíka na ɔkyerɛwee;Maléku Jaíka
mamba;mamba
mambo;mambo
mamey sapote;mamey sapote
mammary;mammary
mammee apɔw-mu-teɛteɛ;mammee apple
mammoplasty a wɔde yɛ adwuma;mammoplasty
mammoth a ɛyɛ kɛse;mammoth
mammothrept a wɔfrɛ no mammothrept;mammothrept
mammy;mammy
mamoncillo a ɛyɛ mamoncillo;mamoncillo
man supɔw so;Isle of Man
mana;manna
mana nsõ;manna ash
manacle;manacle
managua;Managua
manama;Manama
manatee;manatee
manba;citizen
manchester;Manchester
manchester kɛse no;Greater Manchester
manchufo;Manchu
manchuria na ɛwɔ hɔ;Manchuria
mancunian kasa;Mancunian
mandaesom;Mandaeism
mandala;mandala
mandarin a ɛyɛ borɔdɔma;mandarin orange
mandarin ananse a wɔfrɛ no mandarin;mandarin duck
mandarin kasa;Mandarin
mandarin mpataa;mandarin fish
mandibular a ɛwɔ anom;mandibular
mandola a wɔde di dwuma;mandola
mandolin a wɔde yɛ adwuma;mandolin
mandrake a wɔfrɛ no mandrake;mandrake
mandrill a wɔfrɛ no mandrill;mandrill
mane;mane
mane;send
mane;transfer
mane;turn
mane kɔ;export
maned ɔkraman;maned wolf
maneuver a wɔde yɛ nneɛma;maneuver
manga;manga
manganese a wɔfrɛ no manganese;manganese
mange;mange
manger;manger
mango;mango
mango nsuo a wɔde yɛ;mango juice
mango pudding a wɔde yɛ aduan;mango pudding
mangosteen a wɔde yɛ aduru;mangosteen
mangrove a wɔfrɛ no mangrove;mangrove
mangy;mangy
manhole a wɔde yɛ adwuma;manhole
mani;Mani
mani;native
mania a ɛyɛ hu;mania
maniac a ɔyɛ ɔkwasea;maniac
maniacal;maniacal
manic a ɛyɛ hu;manic
manichaeism a wɔde di dwuma;Manichaeism
manicure a wɔde yɛ adwuma;manicure
manifesto a wɔde ma;manifesto
manifold;manifold
manila;Manila
manila hemp a wɔfrɛ no hemp;Manila hemp
manioc;manioc
manipulative a wɔde di dwuma;manipulative
manipur na ɛwɔ hɔ;Manipur
manitoba na ɛwɔ hɔ;Manitoba
mann;goo
mannequin a wɔde yɛ adwuma;mannequin
mannitol a wɔfrɛ no mannitol;mannitol
mannosamine a wɔde yɛ nnuru;mannosamine
mannose a ɛyɛ den;mannose
mano a mano;mano a mano
manometer a wɔde kyerɛ sɛnea obi te;manometer
mansini;province
manslut a ɔyɛ ɔbarima;manslut
manta ray na ɛyɛ;manta ray
mantam;region
mantam kurow mu;county town
mantam mu;county
mantelpiece a wɔde yɛ ade;mantelpiece
manticore a wɔde yɛ adwuma;manticore
mantilla;mantilla
mantis;mantis
mantissa;mantissa
mantit;mantit
mantle a wɔde ahyɛ mu;mantle
mantling a wɔde hyɛ nipadua mu;mantling
mantoux sɔhwɛ;Mantoux test
mantra;mantra
mantua;Mantua
manul;manul
manumit;manumit
manx cat, ɔkraman;Manx cat
manx gaelic kasa mu;Manx Gaelic
maofo a wɔpɛ wɔn asɛm;Maoist
maorifo kasa;Maori
maosom;Maoism
map;map
maple a wɔde yɛ nneɛma;maple
maple syrup a wɔde yɛ aduru;maple syrup
mapuchefo kasa;Mapuche
mapudungun na ɛwɔ hɔ;Mapudungun
maputo na ɔkyerɛwee;Maputo
mar;mar
marabou a wɔfrɛ no marabou;marabou
maracanaço na ɛwɔ hɔ;Maracanaço
marasmus a wɔfrɛ no marasmus;marasmus
marathi kasa;Marathi
marbella na ɔkyerɛwee;Marbella
marble a wɔfrɛ no marble;marble
marcasite a wɔfrɛ no marcasite;marcasite
marcel na ɔkyerɛwee;Marcel
marcella na ɔkyerɛwee;Marcella
marcellus na ɔkyerɛwee;Marcellus
marchigüe na ɔkyerɛwee;Marchigüe
marchioness a ɔyɛ ɔbea;marchioness
mare;mare
mare nufusu;mare's milk
margaret na ɔkyerɛwee;Margaret
margarine a wɔde yɛ nneɛma;margarine
margay a wɔfrɛ no margay;margay
marginal;marginal
mari anwiinwiifo;mari complaisant
maria;Mary
maria magdalene;Mary Magdalene
mariana trench na ɔkyerɛwee;Mariana Trench
marianas a ɛwɔ atifi fam;Northern Marianas
marigold a wɔfrɛ no marigold;marigold
marimba;marimba
marina na ɔkyerɛwee;Marina
marinate a wɔde hyɛ mu;marinate
mario;Mario
marionberry a ɛyɛ fɛ;marionberry
marionette a wɔfrɛ no marionette;marionette
marius na ɔkyerɛwee;Marius
marjoram a wɔde di dwuma;marjoram
markov nkɔnsɔnkɔnsɔn;Markov chain
markup a wɔde hyɛ mu;markup
marl;marl
marmalade a wɔde yɛ nneɛma;marmalade
marmara po no so;Sea of Marmara
marmoset a wɔfrɛ no marmoset;marmoset
marmoset a ɛtaa ba;common marmoset
marmot a wɔfrɛ no marmot;marmot
maroon a ɛyɛ maroon;maroon
marquess a ɔyɛ ɔbarima;marquess
marquetry a wɔde yɛ nneɛma;marquetry
marquezian na ɔkyerɛwee;Marquezian
marrakech na ɛwɔ hɔ;Marrakech
marrano na ɔkyerɛwee;Marrano
marron glacé na ɔkyerɛwee;marron glacé
marrow;marrow
marrowbone;marrowbone
mars;Mars
marseillaise na ɔkyerɛwee;Marseillaise
marseille samina a wɔde yɛ samina;Marseille soap
marseilles na ɛwɔ hɔ;Marseilles
marsfo a wɔyɛ adwuma wɔ hɔ;Martian
marsh buck a ɔyɛ ɔkraman;marsh buck
marshal a ɔyɛ ɔsraani panyin;marshal
marshall nsupɔw so;Marshall Islands
marshallese kasa;Marshallese
marshmallow a wɔde yɛ nneɛma;marshmallow
marshrutka a ɛyɛ hu;marshrutka
marsupial a ɛyɛ hu;marsupial
marsupialization a wɔde di dwuma;marsupialization
marsupium a wɔfrɛ no marsupium;marsupium
marta;Martha
marten na ɛyɛ;marten
martin a ɛyɛ kɔkɔɔ;purple martin
martin na ɔkyerɛwee;martin
martina na ɔkyerɛwee;Martina
martingale a wɔde ma;martingale
martini;martini
martinicanfo a wɔyɛ adwuma wɔ hɔ;Martinican
martinique na ɔkyerɛwee;Martinique
martlet a wɔde di dwuma;martlet
martorelles na ɔkyerɛwee;Martorelles
marx na ɔkyerɛwee;Marx
marxsom ho adwene;Marxism
marxsom-leninsom;Marxism-Leninism
mary jane na ɔkyerɛwee;Mary Jane
maryland na ɛwɔ hɔ;Maryland
marzipan a wɔde yɛ nneɛma;marzipan
marzpanate a wɔde yɛ nneɛma;marzpanate
masaya;Masaya
mascara a wɔde yɛ aduru;mascara
mascarpone a wɔde yɛ aduru;mascarpone
mascot a wɔde yɛ ade;mascot
masculinize;masculinize
maseru;Maseru
mash a wɔde ma;mash
mashable a wɔde hyɛ mu;mashable
mashed;mashed
mashup a wɔde yɛ adwuma;mashup
masking tape a wɔde kata so;masking tape
masnini;district
masno;dispute
masochism a wɔde di dwuma;masochism
masochist a ɔyɛ ɔbarima;masochist
mason a ɔyɛ ɔbodan;mason
masquerade a wɔde yɛ wɔn ho;masquerade
mass edin;mass noun
mass line;mass line
massachusetts;Massachusetts
massage pon so;massage table
masseur a wɔde hyɛ nipadua mu;masseur
massicot a wɔde di dwuma;massicot
massif;massif
mast;mast
master key;master key
master mmirikatu;master race
master stock;master stock
master’s abodin krataa;master's degree
mastic a wɔde ma;mastic
mastiff a wɔde di dwuma;mastiff
mastodon a wɔfrɛ no mastodon;mastodon
mat;mat
matador;matador
matagalpa na ɔkyerɛwee;Matagalpa
mataró na ɔkyerɛwee;Mataró
match fixing a wɔde siesie;match fixing
mateine;mateine
mateo;Matthew
matera na ɔkyerɛwee;Matera
matilda na ɔkyerɛwee;Matilda
matinee;matinee
matriarch;matriarch
matriarchal ho asɛm;matriarchal
matriarchy a wɔde di dwuma;matriarchy
matric adesua;matriculate
matrix a wɔde yɛ adwuma;matrix
matrix a ɛdannan no;inverse matrix
matrix a ɛyɛ ahinanan;square matrix
matrix a ɛyɛ diagonal;diagonal matrix
matron;matron
matronly na ɔyɛ;matronly
matsuyama na ɔkyerɛwee;Matsuyama
matte;matte
matthias na ɔkyerɛwee;Matthias
mattock a wɔde di dwuma;mattock
mattress a wɔde hyɛ mu;mattress
maudlin na ɔkyerɛwee;maudlin
maugre;maugre
maul;maul
maunch a wɔde hyɛ mu;maunch
maunder a ɛwɔ hɔ;maunder
maurice na ɔkyerɛwee;Maurice
mauritania na ɛwɔ hɔ;Mauritania
mauritaniafoɔ;Mauritanian
mauritius na ɛwɔ hɔ;Mauritius
mauritiusfo na wɔyɛɛ saa;Mauritian
mauser na ɔkyerɛwee;Mauser
mauve;mauve
maven;maven
maverick a wɔde yɛ adwuma;maverick
maw;maw
mawie;done
maxilla a ɛwɔ anom;maxilla
maxillary sinus a ɛwɔ anom;maxillary sinus
maxillofacial a ɛwɔ anim;maxillofacial
maxim;maxim
maximalism a ɛyɛ kɛse;maximalism
maximilian na ɔkyerɛwee;Maximilian
maxwell honhommɔne no;Maxwell's demon
mayafo;Maya
mayday;mayday
mayflower a ɛyɛ fɛ;mayflower
mayfly a wɔfrɛ no;mayfly
mayhem a ɛyɛ hu;mayhem
mayonnaise a wɔde yɛ nneɛma;mayonnaise
mayoress;mayoress
mayotte na ɔkyerɛwee;Mayotte
mazandaran na ɔkyerɛwee;Mazandaran
maze;maze
mazel tov;mazel tov
mazurka na ɛyɛ;mazurka
mbabane;Mbabane
mccarthysom a wɔde di dwuma;McCarthyism
mcintosh na ɔkyerɛwee;McIntosh
me;I'm
me;i
me;me
me;my
me ayera;I'm lost
me deɛ;I've
me deɛ;mine
me din de;my name is
me funu a awu no so;over my dead body
me hia ...;I need ...
me ho;myself
me ho ayɛ me nwini;I'm cold
me ho ye, meda wo ase;I'm fine, thank you
me ho yɛ;I'm fine
me ho yɛ hyew;I'm hot
me kɔndɔm no bubui;my condom broke
me mogya su yɛ ...;my blood type is ...
me nan;my foot
me ne awaregyae;I'm divorced
me ne me deɛ;me and mine
me nso;me too
me ntumi nnya me ...;I can't find my ...
me nyinsɛn;I'm pregnant
me suro;I'm scared
me suro sɛ ɛnyɛ saa;I'm afraid not
me ti yɛ me yaw;I have a headache
me yam a;I wish
mea culpa a ɛyɛ hu;mea culpa
mead;mead
meadowlark a ɛwɔ wuram;meadowlark
meander a ɛyɛ meander;meander
meanie a ɛyɛ meanie;meanie
meatotomy a wɔde yɛ nipadua no;meatotomy
mebrɛ;I'm tired
mecca;Mecca
mecha;mecha
meda wo ase;thank you
meda wo ase pa ara;thank you very much
mediastinal a ɛwɔ nipadua no mu;mediastinal
medina;Medina
mediocre;mediocre
mediocrity a ɛyɛ mmerɛw;mediocrity
mediterranea po no;Mediterranean Sea
mediterranea po no so;Mediterranean
mediterraneafo a wɔde wɔn ho hyɛ mu;Mediterraneanize
medium awufo;medium dead
medlar a ɛyɛ medlar;medlar
medley a ɛyɛ medley;medley
medulla a ɛyɛ tenten a ɛyɛ den;medulla oblongata
medullary a ɛwɔ nipadua no mu;medullary
medusa na ɔkyerɛwee;Medusa
medvedev na ɔkyerɛwee;Medvedev
medɔ wo;I love you
meerkat a wɔde di dwuma;meerkat
mega- .;mega-
megacolon a ɛyɛ kɛse;megacolon
megagram a ɛyɛ megagram;megagram
megakaryocyte a ɛwɔ nipadua no mu;megakaryocyte
megalithic a wɔde ayɛ nneɛma;megalithic
megalithism a wɔde di dwuma;megalithism
megalitre a wɔde yɛ nneɛma;megalitre
megalomania a ɛyɛ kɛse;megalomania
megalopolis a ɛyɛ kɛse;megalopolis
megamita a ɛyɛ fɛ;megametre
meganser a wɔfrɛ no merganser;merganser
megaohm a ɛyɛ megaohm;megaohm
megapenny a ɛyɛ kɛse;megapenny
megaphone a wɔfrɛ no megaphone;megaphone
megapode a ɛyɛ kɛse;megapode
megasecond na ɛyɛ;megasecond
megatsunami a ɛyɛ kɛse;megatsunami
meghalaya na ɛwɔ hɔ;Meghalaya
megleno-romania kasa;Megleno-Romanian
mehweree me nsa bag;I lost my handbag
mehweree me nsafe;I lost my keys
mehweree me sika kotoku;I lost my wallet
mehweree m’akyi bag no;I lost my backpack
mehweree m’aniwa ahwehwɛ no;I lost my glasses
meibomian ntini a ɛma nipadua no yɛ adwuma;meibomian gland
meiosis a ɛyɛ mmerɛw;meiosis
meitnerium a ɛwɔ nipadua no mu;meitnerium
meka atosɛm;I tell a lie
meka kyerɛɛ wo saa;I told you so
mekyea wo;best regards
melanesia a ɛma obi nya ɔyare;Melanesia
melange a wɔde hyɛ mu;melange
melanin a wɔfrɛ no melanin;melanin
melanoma a ɛma obi nya melanoma;melanoma
melatonin a wɔfrɛ no melatonin;melatonin
melba toast a wɔde yɛ toast;Melba toast
melbourne;Melbourne
melchior na ɔkyerɛwee;Melchior
melekeok na ɔkyerɛwee;Melekeok
melisma a wɔde di dwuma;melisma
melissopalynology ho adesua;melissopalynology
melkisedek;Melchizedek
mellifluous a ɛyɛ dɛ;mellifluous
mellow a ɛyɛ dɛ;mellow
melo;Melo
melodrama a wɔde di dwuma;melodrama
melodramatic a ɛyɛ dɛ;melodramatic
melon a wɔfrɛ no melon;melon
melon a ɔwɔ mmɛn;horned melon
melon a ɛyɛ nwononwono;bitter melon
melon baller a ɔbɔ bɔɔl;melon baller
meltdown a ɛyɛ mmerɛw;meltdown
melting point a ɛyɛ hyew;melting point
mem;sink
mema wo adwo;good evening
mema wo aha;good afternoon
mema wo akye;good morning
membrane a ɛwɔ nipadua no mu;membrane
membranophone a wɔde hyɛ nipadua mu;membranophone
membranous a ɛwɔ nipadua no mu;membranous
meme;meme
memeneda;Saturday
memetics a wɔde yɛ nneɛma;memetics
memnon na ɔkyerɛwee;Memnon
memory a ɛretu;memory leak
memory card a wɔde kyerɛw nsɛm;memory card
memory stick a wɔde yɛ nneɛma;memory stick
memphis na ɛwɔ hɔ;Memphis
mempɛ;I don't want it
menagerie a ɛwɔ hɔ;menagerie
menarche a ɛma obi nya ɔbarima ne ɔbea nna;menarche
mendelevium a ɛwɔ nipadua no mu;mendelevium
mene;swallow
mene wo ho;swallow up
menem;throat
menemkuro;sore throat
menhir;menhir
menial;menial
menim;I know
meningitis a ɛma obi ho yɛ hyew;meningitis
meninx a ɛyɛ meninx;meninx
meniscus a ɛwɔ nipadua no mu;meniscus
menka kar;I don't drive
menni mpataa;I don't eat fish
menni mprako nam;I don't eat pork
menni nam;I don't eat meat
mennim;I don't know
mennonitefoɔ;Mennonite
menorah a wɔde yɛ adwuma;menorah
menorrhagia a ɛma mogya tu;menorrhagia
mens rea;mens rea
mensa;Mensa
mensivery a ɔyɛ ɔbarima;mensiversary
mente aseɛ;I don't understand
mentol a wɔde yɛ aduan;menthol
menu a wofi ase;Start Menu
menu no mu;menu
menyɛ nyamesomni;I'm not religious
meow a ɛyɛ dɛ;meow
mep;MEP
mephistopheles na ɔkyerɛwee;Mephistopheles
mepɛ sɛ mefew wo ano;I'd like to kiss you
mepɛ sɛ mihu;I want to know
mepɛ sɛ mihu;I'd like to know
mepɛ w'asɛm;I like you
mercaptan a ɔyɛ ɔdefo;mercaptan
mercedes na ɔkyerɛwee;Mercedes
mercerize a wɔde hyɛ obi nsa;mercerize
mercia na ɔkyerɛwee;Mercia
mercurianfo a wɔyɛ adwuma wɔ hɔ;Mercurian
mercury a wɔde yɛ nneɛma;mercury
mercury-vapour kanea a wɔde yɛ kanea;mercury-vapour lamp
merenyawoayɛ;envy
mereology kɛkɛ;mereology
meretricious a ɛyɛ hu;meretricious
merewu;I'm dying
mericarp a ɛyɛ mericarp;mericarp
meridian a ɛyɛ meridian;meridian
meringue a wɔfrɛ no meringue;meringue
meristem (meristem) a ɛyɛ den;meristem
merit a ɛfata;merit
meritocracy a wɔde di dwuma;meritocracy
meritocratic a ɛyɛ nea ɛfata;meritocratic
merkel na ɔkyerɛwee;Merkel
merkin a wɔfrɛ no merkin;merkin
merlin a wɔfrɛ no merlin;merlin
merlon a wɔfrɛ no merlon;merlon
merlot na ɔkyerɛwee;Merlot
mermaid a ɔyɛ asukɔtweaa;mermaid
merman a ɔyɛ ɔbarima;merman
meronym a wɔde di dwuma;meronym
meronymy a wɔde di dwuma;meronymy
merv;Merv
mesa;mesa
mesangial a wɔde di dwuma;mesangial
mesentery a ɛyɛ mmerɛw;mesentery
mesh a wɔde yɛ nneɛma;mesh
mesia;messiah
mesia ho asɛm;messianic
meso-mantam mu;meso-region
mesoamerica na ɛwɔ hɔ;Mesoamerica
mesocarp a wɔfrɛ no mesocarp;mesocarp
mesolect a wɔfrɛ no mesolect;mesolect
mesolithic bere a wɔde yɛ adwuma;Mesolithic
mesology ho adesua;mesology
mesopause a ɛyɛ den;mesopause
mesopotamia na ɛwɔ hɔ;Mesopotamia
mesosphere (mesosphere) a ɛyɛ fɛ;mesosphere
mesquite a wɔfrɛ no mesquite;mesquite
mesrɛ wo;please
mesrɛ wo boa me;please help me
mesrɛ wo tena ase;please sit down
mesrɛ wo, fa nkyene no ntwam;please pass the salt
mess hall a wɔde nneɛma gu mu;mess hall
messidor na ɔkyerɛwee;Messidor
messina asubɔnten no mu;Strait of Messina
messina na ɔkyerɛwee;Messina
messiniafoɔ;Messinian
messmate a ɛyɛ messmate;messmate
messuage a wɔde kyerɛw nsɛm;messuage
metabasis a wɔde di dwuma;metabasis
metacarpal a ɛwɔ nipadua no mu;metacarpal
metacarpus a ɛwɔ nipadua no mu;metacarpus
metadata a wɔde kyerɛw nsɛm;metadata
metafiction a wɔde di dwuma;metafiction
metagenomics ho adesua;metagenomics
metalhead;metalhead
metalloid a wɔde yɛ nneɛma;metalloid
metalloprotein a ɛma nipadua no yɛ adwuma;metalloprotein
metamorphic a ɛyɛ nea ɛyɛ nwonwa;metamorphic
metan wo;I hate you
metanarrative a ɛyɛ asɛm;metanarrative
metaphase a wɔde di dwuma;metaphase
metaphysics ho adesua;metaphysics
metaphysics ho asɛm;metaphysical
metaplasm a ɛwɔ nipadua no mu;metaplasm
metasearch engine a wɔde hwehwɛ nneɛma mu;metasearch engine
metastasis a ɛkɔ mmeae afoforo;metastasis
metastasize a ɛkɔ mmeae afoforo;metastasize
metatarsus a ɛwɔ nipadua no mu;metatarsus
mete;mete
mete melbourne wɔ hɔ;I live in Melbourne
metempsychosis a ɛma obi nya adwenemhaw;metempsychosis
meteor a ɛtɔ gu fam;meteor shower
meteor a ɛyɛ hu;meteor
meteorite a ɛyɛ ahunmu;meteorite
meteoroid a ɛyɛ hu;meteoroid
methadone a wɔde di dwuma;methadone
methamphetamine a wɔde di dwuma;methamphetamine
methane a wɔde yɛ adwuma;methane
methanoic acid a wɔde yɛ aduru;methanoic acid
methanol a wɔde yɛ nneɛma;methanol
methinks;methinks
methionine a wɔde yɛ aduru;methionine
methodism a wɔde di dwuma;Methodism
methodistfo a wɔyɛ adwuma wɔ hɔ;Methodist
methyl a wɔfrɛ no methyl;methyl
methyl salicylate a wɔde yɛ aduru;methyl salicylate
methylation a wɔde yɛ adwuma;methylation
methylene a wɔfrɛ no methylene;methylene
metic;metic
metis;metis
metonym (metonym) a wɔde di dwuma;metonym
metonymic a wɔde kyerɛw nsɛm;metonymic
metonymy a wɔde kyerɛw nsɛm;metonymy
metric;metric
metric ahunmu;metric space
metric nhyehyɛe;metric system
metric tɔn;metric ton
metro;metro
metrology a wɔde susuw nneɛma ho;metrology
metronome a wɔde kyerɛw nsɛm;metronome
metrosexual;metrosexual
metusela;Methuselah
meuse na ɔkyerɛwee;Meuse
mewɔ adagyew;I'm busy
mewɔ aids;I have AIDS
mewɔ asikreyare;I have diabetes
mewɔ asɛmmisa bi;I have a question
mewɔ atiridiinini;I have a cold
mewɔ atiridiinini;I have a fever
mewɔ ayamtu;I have asthma
mewɔ hiv;I am HIV positive
mewɔ kokoram;I have cancer
mewɔ ɔdɔ ma wo;I'm in love with you
mexico;Mexico
mexico asasetaw so;Mexican Plateau
mexico kuropɔn mu;Mexico City
mexico mantam mu;Mexico State
mexico po no mu;Gulf of Mexico
mexicofo a wɔyɛ;Mexicanness
mexicofo asorɔkye;Mexican wave
mexicofo buttonbush a wɔfrɛ no buttonbush;Mexican buttonbush
mexicofo de;Mexican
mexicofo foforo;New Mexican
mexicofo kyɛw asaw;Mexican hat dance
mexicofo marigold a wɔfrɛ no marigold;Mexican marigold
mexicofo nsa dua;Mexican hand tree
