La Gomera;La Gomera na ɔkyerɛwee
lampshade;kanea a wɔde yɛ kanea
lance;lance
lancet;lancet a wɔfrɛ no lancet
lancetfish;lancetfish a wɔfrɛ no lancetfish
land ahoy;asase ahoy
land bridge;asase so bridge
land degradation;asase a wɔsɛe no
land mine;asase so atopae
land;asase
landfall;asase so a wɔde wɔn ho hyɛ mu
landfill;baabi a wɔtow nneɛma gu
landgrave;asase so grave
landing gear;afiri a wɔde si fam
landing strip;kwan a wɔfa so si fam
landing;a wɔde si fam
landlady;ofie wura a ɔyɛ adwuma
landline;telefon a ɛwɔ asase so
landlocked;a ɛnyɛ asase so
landlord;ofie wura
landmark;agyiraehyɛde a ɛyɛ nwonwa
landmass;asase kɛse
landowner;asase wura
landrace;asase so mmirikatu
landscape gardening;asase so turo a wɔyɛ
landscape genetics;asase ho awosu mu nneɛma
landscape;asase bɔbea
landscaping;asase ho nhyehyɛe
landslide;asase a ɛwosow
lane;lane no
Langhian;Langhian na ɔkyerɛwee
language assistant;kasa ho ɔboafo
language barrier;kasa mu akwanside
language exchange;kasa a wɔde sesa wɔn ho wɔn ho
language family;kasa abusua
language isolate;kasa a wɔatew ne ho
language;kasa
languid;languid, a ɛyɛ mmerɛw
languish;languish a ɛyɛ mmerɛw
languor;languor a ɛyɛ mmerɛw
languorous;languorous a ɛyɛ mmerɛw
lank;lank
lanky;lanky
lanolin;lanolin a wɔde yɛ adwuma
lansquenet;lansquenet
lantern;kanea a wɔde yɛ kanea
lanthanum;lanthanum a wɔfrɛ no lanthanum
lanyard;hama a wɔde hyɛ mu
Lao;Lao
Laocoön;Laocoön kasa mu
Laos;Laos
Laotian;Laos kasa
Laozi;Laozi na ɔkyerɛwee
lap dog;lap kraman
lap;serɛ
laparoscopic;laparoscopic a wɔde hwɛ nipadua no mu
laparoscopy;laparoscopy a wɔde hwɛ nipadua no
laparotomy;laparotomy a wɔde yɛ adwuma
lapel;lapel a wɔde hyɛ mu
lapidation;lapidation a ɛyɛ mmerɛw
lapis lazuli;lapis lazuli a wɔfrɛ no lazuli
Laplace operator;Laplace adwumayɛfo
Lapland;Lapland na ɛwɔ hɔ
lapse;lapse a ɛbae
lapsus linguae;lapsus linguae a wɔde di dwuma
laptop;laptop a wɔde di dwuma
lapwing;lapwing a wɔde yɛ adwuma
larceny;korɔnbɔ
larch;larch a wɔfrɛ no larch
lard;srade a wɔde yɛ srade
larder;larder a wɔde nneɛma gu mu
large intestine;dwensɔtwaa kɛse
large-scale;a ɛyɛ kɛse
large;kakraa
largely;kɛse no ara
largess;kɛseyɛ
lark;lark a wɔfrɛ no lark
larkspur;larkspur a wɔfrɛ no larkspur
Larnaca;Larnaca na ɔkyerɛwee
larva;larva a wɔfrɛ no larva
larval;larval a ɛyɛ mmerɛw
laryngeal;laryngeal a ɛwɔ ahurututu mu
laryngitis;ahurututu mu yare
laryngological;laryngological a ɛyɛ mmerɛw
laryngologist;laryngologist ho ɔbenfo
laryngology;laryngology ho aduruyɛ
larynx;larynx a ɛyɛ mmerɛw
lasagna;lasagna a wɔde di dwuma
lascivious;ɔbarima ne ɔbea nna ho akɔnnɔ
lasciviousness;akɔnnɔ a wɔde di dwuma
laser beam;laser hann a ɛyɛ hyew
laser printer;laser afiri a wɔde tintim nhoma
laser;laser a wɔde di dwuma
lash out;lash out a ɛyɛ hu
lash;lash
lass;lass
lassitude;ɔbrɛ
lasso;lasso
last but not least;deɛ ɛtwa toɔ a ɛnkyerɛ akumaa
Last Judgment;Atemmu a Etwa To
last night;anadwo a etwaam no
last quarter;afe a ɛto so abiɛsa a etwaam no
last resort;ɔkwan a etwa to
last rites;amanne ahorow a etwa to
last straw;sare a etwa to
Last Supper;Anwummere Adidi a Etwa To
last year;afe a etwaam no
last;twa toɔ
lastborn;abakan a wɔawo no
lasting;a ɛtra hɔ kyɛ
latch;latch a wɔde hyɛ mu
latchkey kid;latchkey abofra
Late Latin;Latin kasa a ɛbae akyiri yi
late;aka akyi
lateen;lateen na ɛyɛ
latent heat;ɔhyew a ahintaw
latent;ahintaw
later on;akyiri yi
later;akyire
lateral rectus;akyi a ɛyɛ akyi berɛmo
lateral thinking;adwene a ɛwɔ akyi
lateral;akyi
laterally;wɔ afã bi
laters;akyiri yi
latest;deɛ aba foforɔ
latex;latex a wɔde yɛ nneɛma
lath;lath
lathe;lathe a wɔde yɛ adwuma
lather;lather a ɛyɛ fĩ
Latin alphabet;Latin nkyerɛwde nkyerɛwde
Latin America;Latin Amerika
Latin American;Latin Amerikafo
Latin;Latin kasa
Latinity;Latin kasa
Latinization;Latin kasa a wɔde di dwuma
Latino-Faliscan;Latino-Faliscanfo a wɔka wɔn ho asɛm
Latino;Latinofo a wɔyɛ saa
latissimus dorsi;latissimus a ɛwɔ akyi
latitude;latitude a ɛyɛ fɛ
latitudinarian;latitudinarian a ɛyɛ fɛ
latitudinarianism;latitudinarianism a wɔde di dwuma
Latium;Latium a wɔde yɛ adwuma
latrine;tiafi a wɔde yɛ adwuma
latte;latte
Latter-day Saint;Nna a Edi Akyire Ahotefoɔ
latter;akyire
lattice;lattice a wɔde yɛ adwuma
Latvia;Latvia
Latvian SSR;Latviafo SSR
Latvian;Latvia kasa
laud;laud
laudable;nea ɛfata nkamfo
laudableness;nkamfo a wɔkamfo
laudably;nea ɛfata nkamfo
laudanum;laudanum a ɛyɛ fɛ
laudation;nkamfo a wɔde ma
laugh one's head off;serew obi ti fi so
laugh;sere
laughable;serew a ɛyɛ serew
laughing kookaburra;serew kookaburra
laughing stock;serew a wɔde serew
laughing-eyed;serew-aniwa
laughter;sereɛ
launch pad;afiri a wɔde tow hyɛn mu
launch;bue ano
launder;a wɔhoro nneɛma
launderer;nea ɔhoro nneɛma
launderette;baabi a wɔhoro nneɛma
laundress;ntadehoro
laundry;nneɛmasie
laundryman;obi a ɔhoro nneɛma
Laura;Laura na ɔkyerɛwee
laureate;laureate
laurel;laurel a ɛyɛ fɛ
Laurence;Laurence na ɔkyerɛwee
Lausanne;Lausanne na ɔkyerɛwee
lav;lav
lava dome;lava dome
lava;lava
lavash;lavash a wɔde hyɛ mu
lavender;lavender a wɔde yɛ nneɛma
lavish;lavish a ɛyɛ fɛ
law and order;mmara ne nhyehyɛe
law firm;mmara adwumayɛbea
law school;mmaranim sukuu
law-abiding;mmara a wodi so
law;mmara
lawful;mmara kwan so
lawless;mmaratofo
lawn mower;afiri a wɔde twa sare
lawn;ɛsrɛ
lawnmower;afiri a wɔde twa sare
lawrencium;lawrencium a wɔfrɛ no lawrencium
lawsuit;mmara mu asɛm
lawyer;mmaranimni
lax;lax
laxative;aduru a wɔde siw akisikuru ano
lay an egg;tow ɛmo bi to hɔ
lay down;da fam
lay out;twa kwan
lay waste;tow nneɛma gu
lay-by;lay-by a wɔde di dwuma
lay;to hɔ
layabout;layabout na ɛyɛ
layer;mmeamu
laying hen;akokɔ a ɔtow
layman;layman
layoff;adwuma a wɔayi wɔn afi adwumam
layout;twa kwan
layover;layover
layperson;layperson
Lazarus;Lasaro
laze;ɔkwasea
laziness;ɔkwaseayɛ
Lazio;Lazio na ɛwɔ hɔ
lazy ass;ɔkwasea afunumu
lazy;akwadworɔ
lazybones;nnompe a ɛyɛ ɔkwasea
LCD;LCD a wɔde di dwuma
leach;leach a wɔde hyɛ mu
lead guitar;lead guitar
lead oxide;kɔbere a wɔfrɛ no oxide
lead sheet;kɔbere krataa
lead;di kan
leaden;leaden
leader;kannifoɔ
leadership;akannifoɔ
leading;di anim
leaf blower;ahaban a ɛbɔ
leaf through;ahaban no mu
leaf-cutter ant;nwansena a ɔtwitwa nhaban
leaf-storm;ahaban-ahum
leaf;ahaban
leaflet;krataa a wɔde kyerɛw krataa
leafy;nhaban a ɛyɛ nhaban
League of Nations;Amanaman Apam
league;league no mu
Leah;Lea
leak;tue
lean;twere
Leander;Leander a ɔyɛ ɔbaabun
leap day;leap da a ɛyɛ hu
leap of faith;gyidi mu ahurututu
leap second;huruw a ɛto so abien
leap;huri
learn;sua
learned borrowing;suaa boseabɔ
learned;suaa ade
learner;osuani
learning curve;adesua curve
learning disability;adesua mu dɛmdi
learning;resua adeɛ
lease;fa ma berɛ bi mu
leash;leash a wɔde hyɛ mu
least weasel;anyɛ yiye koraa no, weasel
least;ketewa
leather;wedeɛ
leave alone;gyae
leave home;fi fie
leave me alone;gyae me nko ara
leave;ahomegyeɛ
leaven;mmɔkaw
Lebanese;Lebanonfo kasa
Lebanon;Lebanon na ɛwɔ hɔ
Lecco;Lecco na ɔkyerɛwee
lecherous;lecherous a ɔyɛ ɔkwasea
lechery;lechery a wɔde di dwuma
lectern;asɛnka agua so
lecture theatre;ɔkasa dan a wɔde ma
lecture;ɔkasa a wɔde ma
lecturer;ɔkyerɛkyerɛfo
LED;DII KAN
ledge;ledge a ɛwɔ hɔ
ledger line;ledger nkyerɛwde a wɔde kyerɛw nsɛm
ledger;ledger a wɔde kyerɛw nsɛm
leech;leech a wɔfrɛ no leech
leek;leek
leery;leery a ɛyɛ hu
lees;lees a ɛwɔ hɔ
leeward;leeward a ɛyɛ hu
leeway;leeway a wɔde ma
Lefkosia;Lefkosia na ɛwɔ hɔ
left and right;benkum ne nifa
left bank;benkum so bankye
left-handed;benkum-nsa a wɔde di dwuma
left-handedness;benkum so nsa a wɔde di dwuma
left-hander;benkum-hander
left-luggage office;benkum so nneɛma adwumayɛbea
left-wing;benkum fam ntaban
left;benkum
leftist;benkum famfo
leftover;nea aka
leftovers;nkaeɛ
leg;nan
legacy;agyapadeɛ
legal person;mmara kwan so nipa
legal positivism;mmara kwan so adwene a ɛyɛ papa
legal tender;mmara kwan so sika a wɔde tua ho ka
legal;mmara mu
legalise;de hyɛ mmara kwan so
legalism;mmara kwan so de
legality;mmara kwan so de
legalization;mmara kwan so de
legally binding;nea ɛkyekyere no wɔ mmara kwan so
legally;mmara kwan so
Leganés;Leganés na ɔkyerɛwee
legato;legato
legend;okunini
legendary;anansesɛm mu nsɛm
legerdemain;legerdemain a wɔde kyerɛw nsɛm
legible;a wotumi kenkan
legion;legion a ɛwɔ hɔ
legionary;legionary a wɔde wɔn ho hyɛ mu
legislate;hyɛ mmara
legislation;mmarahyɛ bagua
legislative body;mmarahyɛ bagua kuw
legislative branch;mmarahyɛ bagua baa dwumadibea
legislative;mmarahyɛ bagua
legislator;mmarahyɛ baguani
legislature;mmarahyɛ baguafo
legitimacy;mmara kwan so de
legitimately;wɔ mmara kwan so
legitimize;ma ɛyɛ mmara kwan so de
Lego;Lego a ɛwɔ hɔ
legume;atoko a wɔfrɛ no legume
leguminous;a ɛyɛ atoko
Leiden;Leiden na ɔkyerɛwee
leishmaniasis;leishmaniasis a ɛma obi nya ɔyare
leisure;ɔhomeɛ
leitmotif;leitmotif a ɛwɔ hɔ
lemma;lemma
lemmatize;lemmatize a wɔde yɛ adwuma
lemming;lemming
lemniscatic;lemniscatic a wɔde di dwuma
lemon balm;lemon aduru a wɔde yɛ aduru
lemon curd;lemon a wɔde yɛ aduru
lemon juice;lemon nsuo a wɔde yɛ
lemon verbena;lemon verbena a wɔde di dwuma
lemon;lemon
lemonade;lemonade a wɔde yɛ nneɛma
lemongrass;lemongrass a wɔde yɛ aduan
lemur;lemur a wɔfrɛ no lemur
lend a hand;bosea nsa
lend;bɔ besea
lender;ɔdefɛmfoɔ
lenga;lenga
length overall;tenten nyinaa
length;tenten
lengthen;tenten
lengthwise;ne tenten mu
leniency;brɛoo a wɔde yɛ adwuma
lenient;lenient
Leningrad;Leningrad na ɔkyerɛwee
Leninism;Leninsom a wɔde di dwuma
Leninist;Leninfo a ɔyɛ ɔdefo
lenition;lenition a ɛyɛ den
lens;lens a wɔde hwɛ ade
Lent;Lent
lenticular;lenticular a ɛyɛ fɛ
lentil;lentil a wɔde yɛ nneɛma
Leo;Leo
Leonard;Leonard na ɔkyerɛwee
Leonardeschi;Leonardeschi na ɔkyerɛwee
Leonese;Leonese kasa
leonine;leonine a wɔde di dwuma
leopard seal;asono nsɔano
leopard;asono a wɔfrɛ no leopard
Leopold;Leopold na ɔkyerɛwee
leotard;leotard a wɔfrɛ no leotard
LePenism;LePenism a wɔde di dwuma
leper;ɔkwatani
leprechaun;leprechaun a wɔde di dwuma
leprosy;kwata yare
lepton;lepton a wɔfrɛ no lepton
Lepus;Lepus a wɔfrɛ no Lepus
lesbian;ɔbea a ɔne ɔbarima da
lesbianism;mmea a wɔne wɔn ho da
Lesbos;Lesbos na wɔyɛ
lese majesty;lese anuonyam
lesene;lesene
lesion;akuru a ɛwɔ nipadua no mu
Lesotho;Lesothofoɔ
less than;a ennu
less;kumaa
lessee;ɔde ne ho ahyɛ dan mu
lessen;tew so
lesser flamingo;flamingo ketewaa bi
lesser;ketewaa bi
lesson plan;adesua nhyehyɛe
lesson;adesuadeɛ
lessor;ɔdefoɔ a ɔde agyapadeɛ ma
lest;anyɛ saa a
let alone;na kampɛsɛ
let down;ma wɔn abam mmu
let go;gyae
let know;ma wonhu
let loose;ma wogyae
let there be light;ma hann mmra
let's go;momma yɛnkɔ
let's;momma yɛn
let-down;let-down
let;ma
lethal;nea edi awu
lethargic;ɔbrɛ
lethargy;ɔbrɛ
Lethe;Lethe na ɔkyerɛwee
Letitia;Letitia na ɔkyerɛwee
Leto;Leto na ɔkyerɛwee
letter bomb;krataa ɔtopae
letter of credit;krataa a wɔde gyee bosea
letter of marque;krataa a wɔde kyerɛw marque
letter opener;krataa a wɔde bue mu
letter patent;krataa a wɔde kyerɛw tumi krataa
letter;lɛtɛ
letterbox;krataa adaka
letterhead;krataa a wɔde kyerɛw krataa
letters patent;nkrataa a wɔde yɛ patent
lettuce;lɛtusi
Letzeburgesh;Letzeburgesh na ɔkyerɛwee
leucine;leucine a wɔfrɛ no leucine
leucite;leucite a wɔfrɛ no leucite
leucoma;leucoma a ɛma mogya tu
leukemia;mogya mu kokoram
leukocyte;leukocyte a ɛma mogya tu
lev;lev
levee;levee a ɛwɔ hɔ
level crossing;level crossing a wɔde twa kwan
level up;level up no kɔ soro
level-headed;level-headed a ɛyɛ nea ɛwɔ soro
level;tipɛn
leveler;leveler a wɔde yɛ adwuma
lever;lever a wɔde yɛ adwuma
leverage;deɛ obi de pere biribi
leveret;leveret a wɔde di dwuma
Levi;Levi
leviathan;leviathan, a wɔfrɛ no leviathan
levitate;levitate a wɔde hyɛ mu
Leviticus;Leviticus nhoma mu
levocetirizine;levocetirizine a wɔde di dwuma
levulinate;levulinate a wɔde hyɛ nipadua mu
levy;tow a wɔbɔ
lewd;ahohwibra
lexeme;lexeme a wɔde di dwuma
lexical;nsɛmfua a wɔde di dwuma
lexicographer;nsɛm asekyerɛ nhoma kyerɛwfo
lexicographic;nsɛmfua nkyerɛase
lexicography;nsɛmfua nkyerɛase
lexicology;nsɛmfua ho adesua
lexicon;nsɛmfua nkyerɛase
Leyden jar;Leyden toa a wɔde hyɛ mu
León;León na ɔkyerɛwee
LGBT;LGBT
Lhasa;Lhasa na ɛyɛ
liabilities;aka a wɔde tua ho ka
liability insurance;insurance a ɛfa asodi ho
liability;ɛka
liable;asodi ho asodi
liaison;nkitahodifo
liar;ɔtorofo
libation;libation a wɔde ma
libel;animtiaabu
liberal;ahofadifo
liberalism;ahofadi ho adwene
liberate;ahofadi
liberation;ahofadi a wɔde ma
liberator;ahofadifo
Liberia;Liberia na ɛwɔ hɔ
Liberian;Liberiafo de
libertarianism;ahofadi ho adwene
Liberty Island;Liberty Supɔw so
liberty;ahofadi
libidinal;ɔbarima ne ɔbea nna ho akɔnnɔ
libidinosity;ɔbarima ne ɔbea nna ho akɔnnɔ
libidinous;ɔbarima ne ɔbea nna ho akɔnnɔ
libido;ɔbarima ne ɔbea nna ho akɔnnɔ
Libra;Libra a ɛwɔ nipadua no mu
librarian;nhomakorabea sohwɛfo
library science;nhomakorabea ho nyansahu
library;laabri
libretto;libretto a wɔde kyerɛw nsɛm
Libreville;Libreville na ɛwɔ hɔ
libtard;libtard na ɛyɛ adwuma
Libya;Libya
Libyan;Libyafo
license plate;tumi krataa krataa
license;tumi krataa
licentiousness;licentiousness a wɔde di dwuma
lich;lich
lichen;lichen a wɔfrɛ no lichen
lichenification;lichenification a wɔde yɛ nneɛma
lichenology;lichenology ho adesua
licit;licit
licitly;wɔ mmara kwan so
lick and a promise;lick ne bɔhyɛ bi
lick;tafre
licorice;licorice a wɔfrɛ no licorice
lictor;lictor
lid;lid
lidocaine;lidocaine a wɔde yɛ nnuru
lie down;da fam
lie;torɔ
Liechtenstein;Liechtenstein na ɔkyerɛwee
Liechtensteiner;Liechtensteiner na ɔkyerɛwee
liege;liege na ɛyɛ
lien;lien a wɔde ahyɛ obi nsa
lienholder;lienholder a ɔde ne ho ahyɛ mu
lieutenant commander;ɔsahene panyin
lieutenant general;ɔsahene panyin
lieutenant;ɔsraani panyin
life belt;nkwa abɔso
life coach;asetra mu ɔkyerɛkyerɛfo
life cycle;asetra mu kyinhyia
life expectancy;nkwa nna a wɔhwɛ kwan
life insurance;nkwa ho insurance
life is short;nkwa yɛ tiaa
life jacket;nkwagye jacket
life of Riley;Riley asetra mu nsɛm
life partner;asetra mu ɔhokafo
life preserver;nkwa ho adekorafo
life sentence;nkwa nna nyinaa asotwe
life support;nkwa mmoa
life-size;nkwa kɛse te sɛ nea ɛte
life;nkwa
lifeboat;hyɛmma a wɔde gye nkwa
lifeform;nkwa kwan
lifeguard;nkwagyefo
lifelike;nkwa a ɛte sɛ nea ɛte
lifelong;nkwa nna nyinaa
lifestyle;asetra kwan
lifetime;nkwa nna nyinaa
lift a finger;ma nsateaa bi so
lift;pagya
liftoff;liftoff a wɔde ma
ligament;ligament a ɛwɔ nipadua no mu
ligand;ligand a wɔde yɛ adwuma
ligase;ligase a ɛyɛ den
ligate;ligate
ligature;ligature a wɔde hyɛ nipadua mu
liger;liger
light bulb;kanea a wɔde yɛ kanea
light cavalry;apɔnkɔsotefo a wɔn ho yɛ hare
light industry;nnwuma a emu yɛ hare
light pollution;hann a wɔsɛe no
light source;hann fibea
light switch;kanea a wɔde hyɛ mu
light year;hann afe
light-emitting diode;diode a ɛma hann ba
light;kanea
lighten;ma ɛyɛ hare
lighter;a emu yɛ hare
lightfast;hann a ɛyɛ den
lighthouse keeper;kaneadua sohwɛfo
lighthouse;kaneadua a wɔde yɛ kaneadua
lighting;kanea a wɔde hyɛ mu
lightly;brɛoo
lightness;hare a ɛyɛ hare
lightning fast;anyinam ntɛmntɛm
lightning rod;anyinam poma
lightning;ayerɛmo
lightsaber;kanea a wɔde di dwuma
lightspeed;hann ahoɔhare
lightstrip;kanea a wɔde hyɛ mu
lignin;lignin a ɛyɛ lignin
lignite;lignite a wɔde di dwuma
Liguria;Liguria na ɛwɔ hɔ
Ligurian;Ligurian kasa mu kasa
likable;obi a wɔpɛ n’asɛm
like hell;te sɛ hellgya
like hot cakes;te sɛ keeki a ɛyɛ hyew
like riding a bike;te sɛ sakre a wɔtra
like the clappers;te sɛ nsam a wɔbɔ no
like-minded;adwene koro
like;te sɛ
likelihood;nea ɛbɛyɛ yiye
likely;bɛtumi aba sɛ
liken;fa toto ho
likewise;saa ara na
lilac;lilac a wɔfrɛ no lilac
Lilian;Lilian na ɔkyerɛwee
Lilongwe;Lilongwe na ɔkyerɛwee
lily of the valley;sukooko a ɛwɔ bon no mu
lily;lily
lima bean;lima bankye
Lima;Lima na ɛwɔ hɔ
Limassol;Limassol na ɔkyerɛwee
limaçon;limaçon a wɔde di dwuma
limb;limb
limbate;limbate a ɛyɛ den
limbic system;limbic nhyehyɛe
Limburg;Limburg na ɔkyerɛwee
Limburgish;Limburgfo kasa
lime mortar;lime a wɔde ayɛ atɛkyɛ
lime;lime a wɔde yɛ adwuma
limelight;limelight a wɔde wɔn ho hyɛ mu
limerence;limerence a wɔde di dwuma
limerick;limerick a wɔde yɛ adwuma
limestone;limestone a wɔfrɛ no limestone
liminal;liminal a ɛyɛ den
limit;anohyeto
limitation;anohyeto a ɛwɔ hɔ
limited company;adwumakuw a anohyeto wom
limited;anohyeto
limitless;anohyeto nni mu
limnology;limnology ho adesua
limonite;limonite a wɔde yɛ adwuma
limousine;limousine a wɔde di dwuma
limp;limp
limpet;limpet a wɔfrɛ no limpet
limpid;limpid a ɛyɛ mmerɛw
limpkin;limpkin a ɛyɛ mmerɛw
linalool;linaloo a wɔde yɛ adwuma
Lincolnshire spinach;Lincolnshire akutu a wɔfrɛ no spinach
linden;linden a wɔde yɛ adwuma
lindgrenite;lindgrenite a wɔde yɛ nneɛma
line of credit;line of credit a wɔde ma
line segment;line fã bi
line up;hyehyɛ ntonto
line;nsensaneeɛ
lineage;abusua anato
linear algebra;linear algebra a ɛyɛ nkyerɛwde
linear combination;linear a wɔaka abom
linear perspective;linear adwene a wɔde hwɛ ade
linear;linear a ɛyɛ linear
linearly independent;linearly ahofadi
lined antshrike;lined anthrike a wɔde wɔn ho ahyɛ mu
linen;nwera a wɔde ayɛ
liner;liner a wɔde hyɛ mu
ling;ling
linger;linger kyɛ
lingerie;ntade a wɔde hyɛ ase
lingonberry;lingonberry a wɔfrɛ no lingonberry
lingua franca;kasa a wɔde di dwuma wɔ ɔkwan a ɛyɛ nwonwa so
lingual;kasa mu
linguica;linguica a wɔde di dwuma
linguicide;kasakum a wɔde kum obi
linguine;linguine a wɔde di dwuma
linguist;kasa ho nimdefo
linguistic;kasa ho nimdeɛ
linguistics;kasa ho adesua
liniment;liniment a wɔde hyɛ nipadua mu
lining;lining a wɔde ahyɛ mu
link;link
linkage;nkitahodi
linnet;linnet a wɔde yɛ ntama
linoleate;linoleate a wɔde yɛ adwuma
linoleic acid;linoleic acid a wɔde yɛ aduru
linoleum;linoleum a wɔfrɛ no linoleum
linseed;linseed a wɔde yɛ linseed
lint;lint
lintel;lintel a wɔde ahyɛ mu
lion cub;gyata ba
lion's den;gyata amena
lion's share;gyata kyɛfa
lion;gyata
lioness;gyatabea
lip balm;anofafa aduru
lip gloss;anofafa a ɛhyerɛn
lip service;anofafa a wɔde yɛ adwuma
lip sync;anofafa a wɔde yɛ sync
lip-sync;anofafa-sync a wɔde yɛ ade
lip;anofafa
lipase;lipase a wɔfrɛ no lipase
Lipetsk;Lipetsk na ɔkyerɛwee
lipid;lipid a ɛyɛ srade
lipidic;lipidic a ɛyɛ srade
liplessness;anofafa a wonni
lipoprotein;lipoprotein a ɛwɔ nipadua mu
liposoluble;liposoluble a ɛtumi nwura mu
liposuction;srade a wɔtwe fi nipadua mu
lipreading;anofafa a wɔkenkan
lipstick;aduru a wɔde hyɛ ano
liquefaction;nsu a wɔde yɛ nsu
liquefy;nsuo a ɛyɛ nsuo
liqueur;nsa a wɔde yɛ nsa
liquid asset;agyapadeɛ a ɛyɛ nsuo
liquid crystal;nsu a ɛyɛ ahwehwɛ
liquid;nsudeɛ
liquidity;sika a wɔde di dwuma
liquidizer;liquidizer a wɔde yɛ adwuma
liquor store;nsatɔnbea
liquor;nsa a wɔnom
lira;lira
lis pendens;lis pendens a ɛyɛ den
Lisbon;Lisbon na ɛwɔ hɔ
Lisboner;Lisboner na ɔkyerɛwee
lisinopril;lisinopril a wɔde di dwuma
lisp;lisp
list;ahodoɔ
listel;listel
listen;tie
listener;otiefo
listless;listless
listserver;listserver a wɔde kyerɛw nsɛm
lit;lit
litany;litany ho nsɛm
literacy;akenkan ne akyerɛw
literal;ankasa
literally;traa
literary inquisition;nhoma mu asɛnnibea
literary;nhoma mu nsɛm
literate;akenkan ne akyerɛw
literature review;nhoma ahorow mu nhwehwɛmu
literature;kasadwini
litharge;litharge a wɔde di dwuma
lithic;lithic a wɔde ayɛ
