rabat;Rabat
rancidification a wɔde yɛ nneɛma;rancidification
random access memory a wɔde hyɛ mu;random access memory
random variable;random variable
randomly;randomly
randy na ɔyɛ;randy
range of motion a ɛkɔ baabiara;range of motion
ranger a ɔhwɛ mmoa so;ranger
rani;rani
ranking a wɔde di dwuma;ranking
ransack a wɔde wɔn ho hyɛ mu;ransack
rap nnwom;rap
rapa nui na ɔkyerɛwee;Rapa Nui
rapacious;rapacious
rapeseed a wɔfrɛ no rapeseed;rapeseed
raphael na ɔkyerɛwee;Raphael
rapier a wɔde di dwuma;rapier
rapine a wɔde di dwuma;rapine
rappel a wɔfrɛ no rappel;rappel
rappelling a wɔde di dwuma;rappelling
rapture a wɔde gye obi;rapture
rara avis;rara avis
rascal a ɔyɛ ɔkwasea;rascal
rasher;rasher
rasp;rasp
raspberry a wɔfrɛ no raspberry;raspberry
raspy a ɛyɛ raspy;raspy
rassolnik na ɔkyerɛwee;rassolnik
raster mfonini ahorow;raster graphics
rat awuduru;rat poison
rat fi adi;rat out
rat hene;rat king
ratatouille a wɔde kyerɛw nsɛm;ratatouille
ratchet a wɔfrɛ no ratchet;ratchet
ratchet safe a wɔde hyɛ mu;ratchet wrench
ratete;ratite
rating;rating
ratio;ratio
ratiocination a wɔde ma;ratiocination
ratiocinative a wɔde di dwuma;ratiocinative
ration a wɔde ma;ration
ratline a ɛyɛ den;ratline
rattail a ɛyɛ mmerɛw;rattail
rattan a wɔfrɛ no rattan;rattan
rattle a ɛyɛ dede;rattle
rattle kɔkɔɔ;yellow rattle
ravenna na ɔkyerɛwee;Ravenna
ravenous a wɔde di dwuma;ravenous
ravine a ɛwɔ ɔbotan mu;ravine
rax;rax
ray;ray
ray tuo a wɔde di dwuma;ray gun
raymond na ɔkyerɛwee;Raymond
raze;raze
razor a wɔde twitwiw nneɛma;razor
razor a wɔde yɛ ahama;razor comb
razor a ɛyɛ tẽẽ;straight razor
razor blade a wɔde twitwiw nneɛma;razor blade
razor clam a wɔde yɛ aduru;razor clam
razor waya a wɔde yɛ ahama;razor wire
razorbill a wɔde twitwiw nneɛma;razorbill
razzle-dazzle-dazzle;razzle-dazzle
re-lay no bio;re-lay
reactor a wɔde yɛ nneɛma;reactor
ready, botae, ogya;ready, aim, fire
reagent a wɔde yɛ nneɛma;reagent
realgar na ɔkyerɛwee;realgar
realtor a ɔtɔn nneɛma;realtor
ream;ream
reamer a wɔde yɛ nneɛma;reamer
reba;coming
rebecca na ɔkyerɛwee;Rebecca
rebeka na ɔyɛɛ saa;Rebekah
reboa ano;gathering
reboot no bio;reboot
reboro nsuo;swimming
rebounder a ɔbɔ bɔɔl;rebounder
rebrɛ;suffering
rebuff a wɔpow;rebuff
rebus;rebus
recede, akyi;recede
recessive a ɛyɛ nea ɛkɔ fam;recessive
recliner a ɔte hɔ;recliner
recluse akɔre;recluse spider
recoil a wɔde wɔn ho hyɛ mu;recoil
recondite a ɛyɛ nokware;recondite
recrudescence a ɛsan ba;recrudescence
rectal;rectal
recto;recto
rectum a ɛwɔ akyi;rectum
rectus a ɛba fam;inferior rectus
rectus a ɛwɔ soro;superior rectus
recursion a ɛsan ba;recursion
red dwarf a ɛyɛ kɔkɔɔ;red dwarf
red herring a wɔfrɛ no herring a ɛyɛ kɔkɔɔ;red herring
reda;sleeping
redcurrant a ɛyɛ kɔkɔɔ;redcurrant
redi so;following
redirect;redirect
redneck a ɛyɛ kɔkɔɔ;redneck
redolent a ɛyɛ huam;redolent
redoubt a ɛwɔ hɔ;redoubt
redshank a ɛyɛ kɔkɔɔ;redshank
redshift a ɛyɛ kɔkɔɔ;redshift
redstart a wɔde hyɛ mu;redstart
reductase a wɔfrɛ no reductase;reductase
redundancy a wɔde yɛ adwuma;redundancy
redwing a ɛyɛ kɔkɔɔ;redwing
reef;reef
reefer a wɔfrɛ no reefer;reefer
reek;reek
reel;reel
refactor a wɔde yɛ nneɛma foforo;refactor
refactoring a wɔde yɛ nneɛma foforo;refactoring
refine;refine
refiri mu;outgoing
reflation a ɛma nneɛma bo yɛ den;reflation
reflex a ɛma obi nya adwene;reflex
reflex a ɛwɔ tebea mu;conditioned reflex
reflex arc a ɛma obi yɛ ade;reflex arc
refract a ɛyɛ mmerɛw;refract
refraction a ɛma nipadua no yɛ adwuma;refraction
refractive index a ɛkyerɛ sɛnea nneɛma tew;refractive index
refractometer a wɔde kyerɛ sɛnea nneɛma te;refractometer
refractory bere a wɔde yɛ adwuma;refractory period
refresh;refresh
refry bio;refry
refulgent a ɛhyerɛn;refulgent
regal;regal
regale a ɛyɛ anigye;regale
regatta a wɔde tu mmirika;regatta
regency a wɔde di dwuma;regency
regensburg na ɔkyerɛwee;Regensburg
regent a ɔyɛ ɔmanpanyin;regent
reggae nnwom a wɔbɔ;reggae
reggaeton a wɔbɔ no;reggaeton
regicide a wokum no;regicide
regress a wɔde kɔ akyi;regress
regulus na ɔkyerɛwee;Regulus
regurgitate a ɛsan kɔ akyi;regurgitate
rehab a wɔde yɛ adwuma;rehab
rehash a wɔde yɛ adwuma;rehash
rehono;swelling
rehwɛ kwan;expected
rehyɛ aseɛ;beginning
reich a ɛto so abiɛsa;Third Reich
reichstag na ɔkyerɛwee;Reichstag
reification;reification
reify bio;reify
rein;rein
rekora;swing
rekɔ;departure
rekɔ;going to
rekɔ;toward
relative superlative a ɛyɛ nea ɛboro so;relative superlative
relativism a ɛfa biribi ho;relativism
relativistic a ɛyɛ nea ɛfa biribi ho;relativistic
relativity a ɛfa biribi ho;relativity
relativity a ɛfa biribiara ho;general relativity
relativity titiriw bi a ɛfa nneɛma ho;special relativity
relay a wɔde kɔma nkurɔfo;relay
relay mmirikatu a wɔde tu mmirika;relay race
relegate a wɔde si fam;relegate
reload bio;reload
remark;remark
rematch a wɔsan yɛ;rematch
reminisce a wobɛkae;reminisce
remit;remit
remodel no foforo;remodel
remora;remora
renaissance bere no mu;Renaissance
renal;renal
renata na ɔkyerɛwee;Renata
rend;rend
renege a wɔde bɛto hɔ;renege
rennet;rennet
rent boy;rent boy
rentier a ɔyɛ adwuma wɔ hɔ;rentier
repechage a wɔsan yɛ;repechage
rephrase;rephrase
replete;replete
replevin a wɔfrɛ no replevin;replevin
replevy a wɔde ma;replevy
replicon a wɔde di dwuma;replicon
repossess no bio;repossess
repress;repress
reprobate;reprobate
reprography a wɔsan yɛ;reprography
republican a ɔyɛ ɔmanpanyin;republican
republicanism a wɔde di dwuma;republicanism
repulse a wɔde hyɛ obi akyi;repulse
repɛ;craving
repɛ;demanding
repɛ;wanted
requiem a wɔde di dwuma;requiem
requiescant wɔ ahoɔhare mu;requiescant in pace
requiescat wɔ ahoɔhare mu;requiescat in pace
requinto (requinto) a wɔde di dwuma;requinto
requisition a wɔde ma;requisition
res ipsa a wɔde di dwuma wɔ ɔkwan a ɛyɛ nwonwa so;res ipsa loquitur
resection a wɔde twa nipadua no;resection
reset no bio;reset
resile;resile
resin a wɔde yɛ nneɛma;resin
resinous a wɔde yɛ adwuma;resinous
resistivity a ɛko tia;resistivity
resistor a ɛko tia;resistor
resonate;resonate
resonator a ɛma nneɛma yɛ kɛse;resonator
resorb a ɛsan kɔ nipadua no mu;resorb
respondeat a ɛkorɔn sen biara;respondeat superior
resua adeɛ;learning
resveratrol a wɔde di dwuma;resveratrol
retable a wɔde yɛ adwuma;retable
retainer a ɔkora so;retainer
retard na ɛyɛ adwuma;retard
retarded a wɔde wɔn ho ahyɛ mu;retarded
retch ho asɛm;retch
reticulum a ɛyɛ fɛ;Reticulum
retina (retina) a ɛyɛ fɛ;retina
retinol a wɔfrɛ no retinol;retinol
retort a wɔde ma;retort
retrofit a wɔde yɛ adwuma;retrofit
retronym;retronym
retrovirus a ɛwɔ nipadua no mu;retrovirus
retsina na ɛyɛ;retsina
retu mmirika;running
retweet na woayɛ;retweet
retwerɛ;writing
retwɛn;pending
reunion;reunion
reunionesefoɔ;Reunionese
reuptake a wɔsan gye;reuptake
revamp no foforo;revamp
revanchism a wɔde di dwuma;revanchism
revanchist a wɔsan de di dwuma;revanchist
reveille a wɔde di dwuma;reveille
revel a ɛyɛ anigye;revel
revenant a ɔyɛ;revenant
reverberate;reverberate
revolver a wɔde di dwuma;revolver
revue no ho asɛm;revue
rewu;dying
reykjavik na ɛwɔ hɔ;Reykjavik
reyɛ;being
reyɛ adwumaden;exert
rfid a wɔde di dwuma;RFID
rhabdomant ho ɔbenfo;rhabdomantist
rhamnose a ɛyɛ rhamnose;rhamnose
rhea;rhea
rheme;rheme
rhenium a wɔfrɛ no rhenium;rhenium
rheostat a wɔde hyɛ nipadua mu;rheostat
rhesus a wɔfrɛ no macaque a wɔfrɛ no macaque;rhesus macaque
rheum a ɛyɛ mmerɛw;rheum
rhine na ɛwɔ hɔ;Rhine
rhineland na ɛwɔ hɔ;Rhineland
rhineland-palatinate a ɛwɔ ɔman no mu;Rhineland-Palatinate
rhinoplasty a wɔde yɛ anom;rhinoplasty
rhinotillexomania a ɛma obi ho yɛ hyew;rhinotillexomania
rhinovirus a ɛyɛ ɔyare mmoawa;rhinovirus
rhizome a ɛyɛ den;rhizome
rhizosphere a ɛwɔ nipadua no mu;rhizosphere
rho;rho
rhode island na ɛwɔ hɔ;Rhode Island
rhodes na ɔkyerɛwee;Rhodes
rhodesia kasa;Rhodesian
rhodium a wɔfrɛ no rhodium;rhodium
rhodochrosite a wɔfrɛ no rhodochrosite a wɔfrɛ no rhodochrosite;rhodochrosite
rhododendron a wɔfrɛ no rhododendron a wɔfrɛ no rhododendron;rhododendron
rhodonite a wɔfrɛ no rhodonite;rhodonite
rhombic dodecahedron a ɛyɛ ahinanan;rhombic dodecahedron
rhombohedral a wɔde di dwuma;rhombohedral
rhombohedron a ɛyɛ fɛ;rhombohedron
rhombus a wɔfrɛ no rhombus;rhombus
rhone na ɔkyerɛwee;Rhone
rhotacism a ɛma obi ho yɛ hyew;rhotacism
rhubarb a wɔfrɛ no rhubarb;rhubarb
rhuddania kasa;Rhuddanian
rhyme a wɔde di dwuma;rhyme
rhyolite a wɔfrɛ no rhyolite;rhyolite
rhône na ɔkyerɛwee;Rhône
rib cage a wɔde hyɛ mu;rib cage
ribadesella na ɔkyerɛwee;Ribadesella
ribald a ɛyɛ mmerɛw;ribald
ribaldry a wɔde di dwuma;ribaldry
ribbit a wɔde di dwuma;ribbit
ribbon a wɔde yɛ adwuma;ribbon
ribonucleic a ɛwɔ nipadua no mu;ribonucleic
ribonucleic acid a ɛwɔ nipadua no mu;ribonucleic acid
ribonucleoprotein a ɛwɔ nipadua no mu;ribonucleoprotein
ribonucleoside a ɛwɔ nipadua no mu;ribonucleoside
ribonucleotide a wɔde yɛ adwuma;ribonucleotide
ribose a wɔfrɛ no ribose;ribose
ribosomal a ɛwɔ nipadua no mu;ribosomal
ribosome a ɛwɔ nipadua no mu;ribosome
ribosomic a wɔde di dwuma;ribosomic
ribulose a ɛyɛ hu;ribulose
richard na ɔkyerɛwee;Richard
richardson na ɔkyerɛwee;Richardson
richter nsenia a wɔde kyerɛ;Richter scale
ricin a wɔfrɛ no ricin;ricin
rickets a ɛyɛ mmerɛw;rickets
rickshaw a wɔde di dwuma;rickshaw
ricochet a wɔde yɛ aduan;ricochet
ricotta a wɔde ahyɛ mu;ricotta
riddance pa;good riddance
ridealong a wɔde di dwuma;ridealong
ridge a ɛyɛ den;ridge
rife;rife
riff a wɔde di dwuma;riff
riffraff a wɔde kyerɛw nsɛm;riffraff
rig;rig
riga po no mu;Gulf of Riga
rigadoon a wɔde di dwuma;rigadoon
rigel na ɔkyerɛwee;Rigel
rigged a wɔde ayɛ adwuma;rigged
rigging a wɔde yɛ adwuma;rigging
rigidity a ɛyɛ katee;rigidity
rigor mortis a ɛyɛ katee;rigor mortis
rijeka na ɔkyerɛwee;Rijeka
rile;rile
riley asetra mu nsɛm;life of Riley
rill;rill
rim;rim
rime;rime
rind;rind
rinderpest a ɛyɛ hu;rinderpest
ring binder a wɔde kyekyere nneɛma;ring binder
ring kwan so;ring road
ring nsateaa;ring finger
ring of ogya a ɛwɔ hɔ;Ring of Fire
ringgit;ringgit
ringmaster a ɔyɛ adwuma;ringmaster
ringtone a wɔde bɔ nnwom;ringtone
ringwoodite a wɔde yɛ nneɛma;ringwoodite
ringworm a wɔfrɛ no ringworm;ringworm
rio de janeiro na ɛwɔ hɔ;Rio de Janeiro
rip off;rip off
rip-off a wɔde twitwiw nneɛma;rip-off
ripost a wɔde kyerɛw nsɛm;ripost
ripper;ripper
ripple;ripple
risible;risible
risqué a ɛyɛ hu;risqué
rivas na ɔyɛ;Rivas
rivet a wɔde yɛ nneɛma;rivet
riveting a ɛyɛ nwonwa;riveting
riyadh na ɛwɔ hɔ;Riyadh
rna a wɔfrɛ no rna;RNA
rna a ɛnyɛ nea ɛkyerɛw;non-coding RNA
roach a wɔfrɛ no roach;roach
roan;roan
roan akraman a wɔfrɛ wɔn antelope;roan antelope
robert na ɔkyerɛwee;Robert
robin a wɔfrɛ no robin;robin
robɔt;robot
robɔt a wɔde yɛ nneɛma;robotics
rocco na ɔkyerɛwee;Rocco
rocker a ɔbɔ nnwom;rocker
rockrose a wɔfrɛ no rockrose;rockrose
rodeo a wɔde yɛ adwuma;rodeo
roderick na ɔkyerɛwee;Roderick
rodrigues na ɔkyerɛwee;Rodrigues
rodriguez na ɔkyerɛwee;Rodriguez
roe;roe
roebuck a wɔfrɛ no roebuck;roebuck
roentgenium a wɔfrɛ no roentgenium;roentgenium
roger na ɔkyerɛwee;roger
rogers na ɔkyerɛwee;Rogers
roi;ROI
roil;roil
roll call a wɔde frɛ nkurɔfo;roll call
roll out;roll out
roll over;roll over
roller a wɔde kyerɛw nsɛm;roller
roller derby a wɔde bɔ bɔɔl;roller derby
roller nkɔnsɔnkɔnsɔn;roller chain
roller skate a wɔde di dwuma;roller skate
roller skating a wɔde tu mmirika;roller skating
rollerblade a wɔde yɛ nneɛma;rollerblade
rollercoaster a wɔde di dwuma;rollercoaster
rolling pin a wɔde twitwiw nneɛma;rolling pin
rolling resistance a ɛko tia;rolling resistance
roly-poly a wɔde di dwuma;roly-poly
rom;Rom
roma;Rome
roma ahemman kronkron;Holy Roman Empire
roma ahemman no;Roman Empire
romafo;Roma
romafo;Romans
romafo akontaahyɛde;Roman numeral
romafo akontaahyɛde ahorow;Roman numerals
romaji na ɛyɛ;romaji
romance kasa;Romance language
romanesque kasa mu;Romanesque
romanfo;Roman
romanfo a wɔde wɔn ho hyɛ mu;Romanization
romani kasa mu;Romani
romania kasa;Romanian
romania na ɛwɔ hɔ;Romania
romansch na ɔkyerɛwee;Romansch
romeo na ɔkyerɛwee;Romeo
romeo ne juliet na wɔyɛɛ saa;Romeo and Juliet
rook;rook
rookie a ɔyɛ foforo;rookie
roost a wɔde yɛ adwuma;roost
roquefort na ɔkyerɛwee;Roquefort
rorqual;rorqual
rorschach sɔhwɛ;Rorschach test
rosacea a ɛyɛ mmerɛw;rosacea
rosalie na ɔkyerɛwee;Rosalie
rosamund na ɔkyerɛwee;Rosamund
rosary a wɔde kyerɛw nsɛm;rosary
rose;rose
rose apɔw-mu-teɛteɛ;rose apple
rose mfɛnsere;rose window
rose quartz a wɔfrɛ no quartz;rose quartz
rosebed a ɛwɔ hɔ;rosebed
rosebush a wɔfrɛ no rosebush;rosebush
rosehip a wɔde yɛ nneɛma;rosehip
roselle a wɔfrɛ no roselle;roselle
rosemary a wɔde yɛ aduan;rosemary
rosetta ɔboɔ;Rosetta Stone
rosh hashanah na ɔkyerɛwee;Rosh Hashanah
rosin a wɔfrɛ no rosin;rosin
roster a wɔde kyerɛw nsɛm;roster
rostov na ɔkyerɛwee;Rostov
rostov-na-donu na ɔkyerɛwee;Rostov-na-Donu
rosé a wɔfrɛ no rosé;rosé
rosé bobesa a wɔde yɛ;rosé wine
rota;rota
rotator cuff a wɔde hyɛ mu;rotator cuff
rotavirus a ɛwɔ nipadua no mu;rotavirus
roti;roti
rotisserie a wɔde yɛ aduan;rotisserie
rotor a wɔde yɛ adwuma;rotor
rotoscope a wɔde hwɛ nneɛma so;rotoscope
rotterdam na ɛwɔ hɔ;Rotterdam
rouen na ɔkyerɛwee;Rouen
roughness a ɛyɛ den;roughness
roulade a wɔde yɛ adwuma;roulade
roulette a wɔfrɛ no roulette;roulette
round up;round up
roundel a ɛyɛ kurukuruwa;roundel
roundhouse kick a wɔbɔ;roundhouse kick
rouse;rouse
rousong a ɛyɛ nwonwa;rousong
rousseauian na ɔkyerɛwee;Rousseauian
roussillon na ɔkyerɛwee;Roussillon
roustabout a wɔde yɛ adwuma;roustabout
router a wɔde di dwuma;router
rovaniemi na ɔkyerɛwee;Rovaniemi
rover a wɔde tu kwan;rover
rowan;rowan
rower;rower
rowhouse a wɔde nneɛma gu mu;rowhouse
roxana na ɔkyerɛwee;Roxana
rozzer a ɔyɛ adwuma;rozzer
rrna na ɛwɔ hɔ;rRNA
rubella a wɔfrɛ no rubella;rubella
ruben;Reuben
rubidium a wɔfrɛ no rubidium;rubidium
rubik no kuruwa no;Rubik's cube
ruble a wɔfrɛ no ruble;ruble
rubric a wɔde yɛ adwuma;rubric
ruby a ɛyɛ ruby;ruby
ruckus a ɛyɛ hu;ruckus
ruction a wɔde di dwuma;ruction
rudder a wɔde di dwuma;rudder
ruddy a ɛyɛ kɔkɔɔ;ruddy
rudiment a ɛyɛ mfitiasede;rudiment
rudolph na ɔkyerɛwee;Rudolph
rue;rue
ruff;ruff
ruffian a ɔyɛ ɔkwasea;ruffian
ruffle a wɔde hyɛ mu;ruffle
rufous a ɛyɛ fɛ;rufous
rugby a wɔbɔ;rugby
rugose na ɛyɛ;rugose
rum;rum
rumble;rumble
rumen;rumen
ruminate a wɔde yɛ nneɛma;ruminate
rummage a wɔde hwehwɛ nneɛma mu;rummage
rummage a wɔtɔn;rummage sale
rump;rump
rumpus;rumpus
run-of-the-mill a wɔde tu mmirika;run-of-the-mill
rune;rune
runestone a wɔfrɛ no runestone;runestone
rung;rung
runic (runic) a wɔde di dwuma;runic
runology ho adesua;runology
runt;runt
rupee na ɛyɛ;rupee
rupelian kasa;Rupelian
ruritania kasa;Ruritanian
rus;Rus
rusalka na ɛyɛ;rusalka
rusk;rusk
russet a wɔfrɛ no russet;russet
russia;Russia
russia ahemman no;Russian Empire
russia aman nkabom kuw no;Russian Federation
russia kasa;Russian
russia kasa fitaa;White Russian
russiafo a wɔde wɔn ho hyɛ mu;Russification
russiafo abofra;Russian doll
russiafo apuei fam akyirikyiri;Russian Far East
russiafo kasa;Russianism
russiafo ntadehyɛ;Russian dressing
russiafo roulette a wɔfrɛ no roulette;Russian roulette
russiafo- .;Russo-
russiani kasa;Russianist
russofobia ho tan;Russophobia
russophile a ɔyɛ ɔbarima;Russophile
russophone kasa;Russophone
rust a ɛyɛ mmerɛw;rust
rustic a ɛyɛ fɛ;rustic
rusticity a ɛyɛ fɛ;rusticity
rustle a ɛyɛ hu;rustle
rustler a ɔyɛ ɔkorɔmfo;rustler
rusty;rusty
rut;rut
rutabaga;rutabaga
ruth;ruth
ruthenia na ɔkyerɛwee;Ruthenia
ruthenium a wɔfrɛ no ruthenium;ruthenium
rutherfordum a wɔde di dwuma;rutherfordium
rutile;rutile
rutland ahoɔfɛ;Rutland beauty
ruy lopez na ɔkyerɛwee;Ruy Lopez
rwanda na ɛwɔ hɔ;Rwanda
rwandafo;Rwandan
ryazan na ɔkyerɛwee;Ryazan
rydberg daa;Rydberg constant
rye a wɔfrɛ no rye;rye
rye paanoo;rye bread
ryukyuan na ɔkyerɛwee;Ryukyuan
réunion;Réunion
río san juan na ɔkyerɛwee;Río San Juan
röntgen a wɔde di dwuma;röntgen
rösti na ɛyɛ;rösti
rɔba a wɔde yɛ adwuma;rubbernecking
rɔba a wɔde yɛ adwuma;rubbery
rɔba a wɔde yɛ nneɛma;rubbernecker
rɔba ananse;rubber duck
rɔba dua;rubber tree
rɔba kɔn mu;rubberneck
rɔba stamp a wɔde yɛ stamp;rubber stamp
rɔke a wɔde di dwuma;rocket
