c major;C major
capotasto a wɔde kyerɛw nsɛm;capotasto
cappuccino a wɔde hyɛ nipadua mu;cappuccino
caprice a wɔde wɔn ho hyɛ mu;caprice
capricious a ɛyɛ nea wɔpɛ;capricious
capricorn a ɔyɛ ɔbarima;Capricorn
capricornus a ɔyɛ ɔbarima a ɔyɛ ɔbarima;Capricornus
capstan a wɔde di dwuma;capstan
capsular a wɔde hyɛ nipadua mu;capsular
capsule a wɔde hyɛ nipadua mu;capsule
capsule ahɔhodan mu;capsule hotel
captain ɔda adi pefee;Captain Obvious
capuchin a wɔayɛ no tufted;tufted capuchin
capuchin a wɔfrɛ no capuchin;Capuchin
capuchin bonsu a wɔfrɛ no capuchin;capuchin monkey
capybara a wɔfrɛ no capybara;capybara
carabao a wɔde di dwuma;carabao
carabiner a wɔde yɛ adwuma;carabiner
caracal a wɔfrɛ no caracal;caracal
caracara na ɛyɛ;caracara
caracas na ɛwɔ hɔ;Caracas
carafe a wɔde yɛ adwuma;carafe
caramel a wɔde yɛ nneɛma;caramel
caramelize a wɔde yɛ adwuma;caramelize
carapace a wɔde di dwuma;carapace
carat a wɔde di dwuma;carat
caravan a wɔde fa nnipa;caravan
caravanserai a wɔde fa nnipa;caravanserai
caravel a wɔde yɛ adwuma;caravel
caraway a wɔde yɛ adwuma;caraway
carazo na ɔkyerɛwee;Carazo
carbene a wɔde yɛ adwuma;carbene
carbide a wɔde yɛ adwuma;carbide
carbine a wɔfrɛ no carbine;carbine
carbohydrate a ɛwɔ nipadua no mu;carbohydrate
carbon a wɔde yɛ adwuma;activated carbon
carbon a wɔfrɛ no carbon;carbon
carbon copy;carbon copy
carbon dioxide a ɛyɛ hyew;carbon dioxide
carbon krataa;carbon paper
carbon kyinhyia;carbon cycle
carbon monoxide a wɔde yɛ adwuma;carbon monoxide
carbon nsoromma;carbon star
carbon tetrabromide a wɔde yɛ adwuma;carbon tetrabromide
carbon tetrachloride a wɔde yɛ adwuma;carbon tetrachloride
carbon tetrafluoride a wɔde yɛ adwuma;carbon tetrafluoride
carbon tetraiodide a wɔde yɛ adwuma;carbon tetraiodide
carbon tuntum a ɛyɛ tuntum;carbon black
carbonate a wɔde yɛ adwuma;carbonate
carbonated a wɔde ahyɛ mu;carbonated
carbonic acid a wɔde yɛ nneɛma;carbonic acid
carboniferus a ɛwɔ hɔ;Carboniferous
carbonize a wɔde yɛ adwuma;carbonize
carbonyl chloride a wɔde yɛ aduru;carbonyl chloride
carboxyl a wɔde yɛ nneɛma;carboxyl
carboxylic a wɔde yɛ adwuma;carboxylic
carboxylic acid a wɔde yɛ aduru;carboxylic acid
carbuncle a wɔde yɛ adwuma;carbuncle
carcassonne na ɔkyerɛwee;Carcassonne
cardamom a wɔfrɛ no cardamom;cardamom
cardigan a wɔde yɛ adwuma;cardigan
cardinality a ɔyɛ;cardinality
cardio na ɛyɛ adwuma;cardio
cardio- .;cardio-
cardoon a wɔde yɛ adwuma;cardoon
cardsharp a ɛyɛ kaad;cardsharp
careen na ɛyɛ adwuma;careen
caresser a ɔde ne ho hyɛ mu;caresser
caret;caret
caribbean;Caribbean
caribbean engiresi kasa;Caribbean English
caribbean po no;Caribbean Sea
caribou a wɔfrɛ no caribou a wɔfrɛ no caribou;caribou
caricature a wɔde ayɛ mfonini;caricature
caricaturesque a wɔde ayɛ mfonini;caricaturesque
caricaturist a ɔyɛ mfoniniyɛfo;caricaturist
caries a ɛyɛ mmerɛw;caries
carina na ɔkyerɛwee;Carina
carinthia na ɔkyerɛwee;Carinthia
caritive asɛm a ɛfa obi ho;caritive case
carlism na ɔkyerɛwee;Carlism
carmine a wɔfrɛ no carmine;carmine
carnation a wɔde yɛ carnation;carnation
carnauba a wɔde yɛ nneɛma;carnauba wax
carnauba a wɔfrɛ no carnauba;carnauba
carnelian a ɔyɛ ɔbarima;carnelian
carnotite a wɔfrɛ no carnotite;carnotite
carob a wɔfrɛ no carob;carob
carol;carol
carolina parakeet a ɔyɛ ɔkraman;Carolina parakeet
caroline na ɔkyerɛwee;Caroline
caroline nsupɔw so;Caroline Islands
carom;carom
carotene a wɔde yɛ adwuma;carotene
carotenoid a ɛwɔ nipadua no mu;carotenoid
carotid a ɛwɔ nipadua no mu;carotid
carp a wɔfrɛ no carp;carp
carpal a ɛwɔ nipadua no mu;carpal
carpal tunnel a wɔde fa nipadua no mu;carpal tunnel
carpel a wɔde yɛ adwuma;carpel
carpellate a wɔde yɛ nneɛma;carpellate
carpology ho adesua;carpology
carpus a ɛwɔ nipadua no mu;carpus
carrack a wɔde di dwuma;carrack
carrageenan a wɔfrɛ no carrageenan;carrageenan
carrie na ɔkyerɛwee;Carrie
carrion a wɔde di dwuma;carrion
cartagena na ɛwɔ hɔ;Cartagena
cartagenan na ɔkyerɛwee;Cartagenan
carte blanche a wɔde di dwuma;carte blanche
cartel a wɔde di dwuma;cartel
cartesian ade a wɔyɛ;Cartesian product
cartesian ntamgyinafo;Cartesian coordinate
cartesian wimhyɛn a ɛyɛ adwuma;Cartesian plane
cartesianfo a wɔyɛ adwuma wɔ hɔ;Cartesian
carthage a ɛwɔ hɔ;Carthage
cartilage a ɛyɛ mmerɛw;cartilage
cartilaginous a ɛwɔ ntini mu;cartilaginous
cartomancy a wɔde yɛ adwuma;cartomancy
cartoon;cartoon
carvel a wɔde di dwuma;carvel
caryatid a wɔfrɛ no caryatid;caryatid
casablanca na ɛwɔ hɔ;Casablanca
casanova na ɔkyerɛwee;Casanova
cascade a ɛreworo so;cascade
casein a wɔde yɛ adwuma;casein
casemate;casemate
cashew a wɔde yɛ nneɛma;cashew
cashew nut a wɔde yɛ aduan;cashew nut
cashmere na ɛyɛ adwuma;cashmere
casimir na ɔkyerɛwee;Casimir
casino;casino
cask a wɔde ahyɛ mu;cask
caspar na ɔkyerɛwee;Caspar
caspian na ɔkyerɛwee;Caspian
caspian po no;Caspian Sea
cassandra na ɔkyerɛwee;Cassandra
cassata sisiliana a wɔde yɛ aduru;cassata siciliana
cassation a wɔde kyerɛw nsɛm;cassation
cassava a wɔde yɛ cassava;cassava
casserole a wɔde hyɛ nipadua mu;casserole
cassiopeia a ɛwɔ hɔ;Cassiopeia
cassock a wɔfrɛ no cassock;cassock
cassowary a wɔde yɛ nneɛma;cassowary
cast aspersions a wɔtow gu;cast aspersions
castanet a wɔde kyerɛw nsɛm;castanet
castaway a wɔatow agu;castaway
caste (caste) a wɔde di dwuma;caste
castellan a wɔde di dwuma;castellan
castile na ɔkyerɛwee;Castile
castile ne león;Castile and León
castile samina a wɔde yɛ samina;Castile soap
castile-la mancha na ɛwɔ hɔ;Castile-La Mancha
castilian kasa;Castilian
casting a wɔde tow;casting
castling a wɔde yɛ adwuma;castling
castor bean a wɔfrɛ no castor bean;castor bean
castor ngo adwumayɛbea;castor oil plant
castrate a wɔde hyɛ nipadua mu;castrate
castration a wɔde yi nipadua no;castration
castro na ɔkyerɛwee;Castro
castroist a ɔyɛ ɔkyerɛwfo;Castroist
casuistry a wɔde di dwuma;casuistry
cat aduan;cat food
cat flap;cat flap
cat nam;cat meat
cat ntɔkwaw;cat fight
cat-o'-nkron-dua;cat-o'-nine-tails
catachresis a wɔde hyɛ nipadua mu;catachresis
catacomb a wɔfrɛ no catacomb;catacomb
catafalque a wɔde kyerɛw nsɛm;catafalque
catalan aman a wɔyɛ no;Catalan Countries
catalan kasa;Catalanness
catalan kasa a wɔde di dwuma;Catalanization
catalan kasa mu;Catalan
catalanofo a wɔsuro wɔn;Catalanophobia
catalanophone a wɔde kasa;Catalanophone
catalansom kasa;Catalanism
catalase;catalase
catalepsy a wɔde yɛ adwuma;catalepsy
catalina coupon a wɔde kyerɛw krataa;Catalina coupon
catalonia na ɛwɔ hɔ;Catalonia
catalyze a ɛma nneɛma yɛ kɛse;catalyze
catamaran a wɔde fa nnipa;catamaran
catanzaro na ɔkyerɛwee;Catanzaro
cataphora a wɔde hyɛ nipadua mu;cataphora
cataplasm a ɛwɔ nipadua no mu;cataplasm
catapult a wɔde hyɛ mu;catapult
cataract a ɛyɛ mmerɛw;cataract
catarrh a ɛyɛ mmerɛw;catarrh
catatonia a ɛwɔ nipadua no mu;catatonia
catatonic a wɔde di dwuma;catatonic
catcall a wɔfrɛ no catcall;catcall
catcher;catcher
catecholamine a wɔde di dwuma;catecholamine
categorical a wɔde di dwuma;categorical
categorically;categorically
catenary a wɔde ma;catenary
catenative a wɔde di dwuma;catenative
catenin a wɔfrɛ no catenin;catenin
catenoid a ɛwɔ nipadua no mu;catenoid
cater a wɔde ma;cater
caterwaul a wɔde di dwuma;caterwaul
catfish a wɔfrɛ no catfish;catfish
catgirl a ɔyɛ ɔkraman;catgirl
catharsis a ɛma obi ho kyere no;catharsis
catherine na ɔkyerɛwee;Catherine
catheter a wɔde hyɛ mu;catheter
cathetus a wɔfrɛ no cathetus;cathetus
cathode a wɔde hyɛ mu;cathode
cathode ray afiri a wɔde fa nsu mu;cathode ray tube
cation a wɔde yɛ adwuma;cation
catkin a wɔfrɛ no catkin;catkin
catnip a wɔde hyɛ nipadua mu;catnip
catshark a wɔfrɛ no catshark;catshark
cattail a wɔfrɛ no cattail;cattail
catty;catty
catwalk a wɔde di dwuma;catwalk
caucasian albania na ɛwɔ hɔ;Caucasian Albania
caucasianfo a wɔka ne ho;Caucasian
caucasus kesee fam;South Caucasus
caucasus na ɛwɔ hɔ;Caucasus
caucus a wɔde di dwuma;caucus
caucus mmirikatu;caucus race
caudal a ɛwɔ akyi;caudal
caudal fin a ɛwɔ akyi;caudal fin
caudillo a wɔfrɛ no caudillo;caudillo
caudilloship a wɔde di dwuma;caudilloship
caul srade a ɛwɔ nipadua no mu;caul fat
cauliflower a ɛyɛ fɛ;cauliflower
caulk a wɔde yɛ nneɛma;caulk
caulker a wɔde yɛ nneɛma;caulker
caustic a ɛyɛ hyew;caustic
causticity a ɛma obi ho yɛ hyew;causticity
cauterization a wɔde hyew nneɛma;cauterization
cauterize a wɔde bɛhyew;cauterize
caveola a ɛwɔ afiri mu;caveola
cavernous a ɛyɛ cavernous;cavernous
cavesson a wɔfrɛ no cavesson;cavesson
caviar a wɔfrɛ no caviar;caviar
cavitary a ɛwɔ nipadua no mu;cavitary
cavity a ɛwɔ abura mu;cavity
cavort a wɔfrɛ no cavort;cavort
caw;caw
cayenne na ɔkyerɛwee;Cayenne
cayenne ɛmo a wɔde yɛ aduan;cayenne pepper
cayman nsupɔw so;Cayman Islands
caymanianfoɔ;Caymanian
ccp;CCP
cd a wɔbɔ;CD player
cdna na ɛyɛ;cDNA
cebu;Cebu
cebuanofo na wɔte saa;Cebuano
cecil na ɔkyerɛwee;Cecil
cecilia na ɔkyerɛwee;Cecilia
cecina na ɔkyerɛwee;Cecina
cedilla a wɔde yɛ aduru;cedilla
cee;cee
cefotaxime a wɔde yɛ aduru;cefotaxime
celadon na ɔkyerɛwee;celadon
celandine kɛse;greater celandine
celeriac a wɔde yɛ aduru;celeriac
celery a wɔde yɛ nneɛma;celery
celery nkyene a wɔde yɛ;celery salt
celesta na ɔkyerɛwee;celesta
celia na ɔkyerɛwee;Celia
celiac yare a ɛma obi nya yare;coeliac disease
celine na ɔkyerɛwee;Celine
cellar;cellar
cellar pon ano;cellar door
cello a wɔde bɔ nnwom;cello
cello sankubɔfo;cellist
cellobiose a ɛyɛ den;cellobiose
celluloid a wɔde yɛ nneɛma;celluloid
cellulose a wɔde yɛ aduru;cellulose
celsius na ɛwɔ hɔ;Celsius
celtfo;Celt
celtfo a ɔyɛ ɔkannifo;Celtist
celtfo kasa;Celtic
celtuce a wɔfrɛ no celtuce;celtuce
cenomanian a ɔyɛ ɔkyerɛwfo;Cenomanian
cenotaph a wɔde kyerɛw nsɛm;cenotaph
cenote a ɛwɔ hɔ;cenote
censor a ɔhwɛ nneɛma so;censor
censorship a wɔde hwɛ nneɛma so;censorship
censorware a wɔde hwɛ nneɛma so;censorware
cent;cent
centaur a ɛyɛ centaur;centaur
centaurus a wɔfrɛ no centaurus;Centaurus
centigram a ɛyɛ centigram;centigram
centipede a ɛyɛ ɔha;centipede
central park a ɛwɔ hɔ;Central Park
centrifuge a wɔde hyɛ nipadua mu;centrifuge
centriole a ɛwɔ nipadua no mu;centriole
centripetal a ɛwɔ mfinimfini;centripetal
centroid a ɛyɛ fɛ;centroid
centromere a ɛwɔ hɔ;centromere
centrosome a ɛwɔ nipadua no mu;centrosome
centrée a wɔde yɛ adwuma;cendrée
ceo;CEO
cep;cep
cephalopod a ɛwɔ nipadua no mu;cephalopod
cephas na ɔkyerɛwee;Cephas
cepheid a ɛsakra;cepheid variable
cepheus na ɔkyerɛwee;Cepheus
cepstral a ɛwɔ soro;cepstral
cepstrum a ɛwɔ nipadua no mu;cepstrum
ceramide a wɔde yɛ nneɛma;ceramide
cerberus a wɔfrɛ no cerberus;Cerberus
ceres na ɔkyerɛwee;Ceres
cerise;cerise
cerium;cerium
cerulean a wɔfrɛ no cerulean;cerulean
cervid;cervid
cesium a wɔde yɛ aduru;caesium
cesspool a wɔde gu nsu mu;cesspool
cetacean a wɔfrɛ no cetacean;cetacean
cetane a wɔde yɛ adwuma;cetane
cetirizine a wɔde ma;cetirizine
cetology ho adesua;cetology
cetti a ɔyɛ warbler no;Cetti's warbler
cetus na ɔkyerɛwee;Cetus
ceylon na ɛwɔ hɔ;Ceylon
chabad na ɔkyerɛwee;Chabad
chabadnik na ɔkyerɛwee;Chabadnik
chad;Chad
chadfo kasa;Chadian
chador;chador
chafe;chafe
chaff a ɛyɛ nwura;chaff
chaffinch a wɔfrɛ no chaffinch;chaffinch
chaise longue na ɛyɛ adwuma;chaise longue
chakra;chakra
chalaza;chalaza
chalcedon na ɔkyerɛwee;Chalcedon
chalcedony a wɔde di dwuma;chalcedony
chalcocite a wɔde yɛ aduru;chalcocite
chalcopyrite a wɔde yɛ aduru;chalcopyrite
chalet a ɛyɛ fɛ;chalet
chalk a wɔde yɛ nneɛma;chalk
challenger deep na ɔyɛ;Challenger Deep
chamaeleon na ɔkyerɛwee;Chamaeleon
chamartín na ɔkyerɛwee;Chamartín
chamber kuku mu kuku;chamber pot
chameleon a wɔfrɛ no chameleon;chameleon
chamfer a ɛwɔ hɔ;chamfer
chamois a wɔfrɛ no chamois;chamois
champagne a wɔde yɛ adwuma;Champagne
champagne bokiti a wɔde yɛ champagne;champagne bucket
champignon a wɔde di dwuma;champignon
champions league no mu;Champions League
chance;chancy
chancel a ɔyɛ ɔmanpanyin;chancel
chancre;chancre
changchun na ɔkyerɛwee;Changchun
changhsingian kasa mu;Changhsingian
channel;channel
channel nsupɔw so;Channel Islands
channel tunnel a wɔde yɛ adwuma;Channel Tunnel
chanonnier na ɛyɛ adwuma;chansonnier
chant;chant
chanter a ɔbɔ nnwom;chanter
chanterelle a wɔfrɛ no chanterelle;chanterelle
chaparral na ɔkyerɛwee;chaparral
chaperone a ɔka ho;chaperone
chapman antshrike a ɔyɛe no;Chapman's antshrike
characterize;characterize
charade a ɛyɛ hu;charade
charango;charango
chard;chard
chardonnay na ɔkyerɛwee;Chardonnay
charger a wɔde hyɛ mu;charger
chargé d’affaires a ɔbɔ no sobo;chargé d'affaires
charismatic a ɛyɛ nwonwa;charismatic
charlatan a ɔyɛ ɔkwasea;charlatan
charlemagne na ɔkyerɛwee;Charlemagne
charles mmara no;Charles's law
charles na ɔkyerɛwee;Charles
charlie na ɔkyerɛwee;Charlie
charlotte na ɔkyerɛwee;Charlotte
charm;charm
charm a ɛyɛ abufuw;charm offensive
charm a ɛyɛ nwonwa;charm quark
charmed;charmed
charmer a ɔyɛ ɔkraman;charmer
charnel fie a ɛwɔ hɔ;charnel house
charon na ɔkyerɛwee;Charon
charred;charred
charter ho mmara;charter
charwoman a ɔyɛ ɔbea;charwoman
charybdis na ɔkyerɛwee;Charybdis
chasm a ɛyɛ hu;chasm
chassis a wɔde di dwuma;chassis
chastise;chastise
chastushka;chastushka
chasuble a ɛyɛ den;chasuble
chat up;chat up
chateaubriand a ɔyɛ ɔmanpanyin;chateaubriand
chatterbox a wɔde bɔ nkɔmmɔ;chatterbox
chattian na ɔkyerɛwee;Chattian
chauvinism a wɔde di dwuma;chauvinism
chauvinist a ɔyɛ ɔmanpanyin;chauvinist
chav;chav
chavette a wɔfrɛ no chavette;chavette
chayote;chayote
chechenfo;Chechen
chechnya kasa;Chechnya
checkbook ho nhoma;chequebook
checkerboard a wɔde kyerɛw nsɛm;checkerboard
checkmate a wɔde yɛ adwuma;checkmate
checksum a wɔde kyerɛw nsɛm;checksum
cheddar kyiisi a wɔde yɛ kyiisi;Cheddar cheese
cheeky;cheeky
cheerios a ɛyɛ anigye;Cheerios
cheerleader a ɔma nkurɔfo ani gye;cheerleader
cheerleading a wɔde hyɛ nkurɔfo nkuran;cheerleading
cheese a wɔayɛ ho adwuma;processed cheese
cheese a wɔde twitwiw kyiisi mu;cheese slicer
cheeseburger a wɔde yɛ aduan;cheeseburger
cheesecake a wɔde yɛ keeki;cheesecake
cheesemaker a ɔyɛ no;cheesemaker
cheeser a wɔfrɛ no cheese;cheeser
cheesetɔnfo a ɔtɔn kyiisi;cheesemonger
cheesy a ɛyɛ cheesy;cheesy
cheetah a wɔfrɛ no cheetah;cheetah
chehalem nnuaba;Chehalem berry
chelation a wɔde yɛ nneɛma;chelation
chelyabinsk na ɔkyerɛwee;Chelyabinsk
chemiosmosis a ɛma nipadua no yɛ adwuma;chemiosmosis
chemnitz na ɔkyerɛwee;Chemnitz
chemokine a wɔde yɛ nnuru;chemokine
chemoreceptor a ɛma obi nya nnuru;chemoreceptor
chemosensory a wɔde di dwuma;chemosensory
chemosynthesis a wɔde yɛ nneɛma;chemosynthesis
cherimoya, a wɔfrɛ no cherimoya;cherimoya
cherkessk na ɔkyerɛwee;Cherkessk
chernobyl na ɛwɔ hɔ;Chernobyl
chernozem a wɔfrɛ no chernozem;chernozem
cherokeefo kasa;Cherokee
cherry a wɔde yɛ nneɛma;cherry
cherry a ɛyɛ akisikuru;sour cherry
cherry brandy a wɔde yɛ brandy;cherry brandy
cherry dua a wɔfrɛ no cherry dua;cherry tree
cherry kɔkɔɔ;cherry red
cherry laurel a wɔde yɛ aduan;cherry laurel
cherry nhwiren a ɛyɛ frɔmfrɔm;cherry blossom
cherry plum a wɔde yɛ plum;cherry plum
cherry-pick a wɔde yɛ nneɛma;cherry-pick
chert;chert
chervil a wɔfrɛ no chervil;chervil
chervonets a wɔde yɛ nneɛma;chervonets
cheshire kyiisi a wɔde yɛ kyiisi;Cheshire cheese
cheshire ɔkraman;Cheshire cat
chess a wɔde ahoɔhare bɔ;speed chess
chess a wɔde yɛ ade;chess piece
chess bɔfo;chess player
chessboard a wɔde di dwuma;chessboard
chest press;chest press
chestnut a wɔfrɛ no chestnut;chestnut
chestnut dua a wɔfrɛ no chestnut dua;chestnut tree
chevron a wɔfrɛ no chevron;chevron
chew mmeae a ɛhɔ yɛ fɛ no;chew the scenery
chewing gum a wɔde di dwuma;chewing gum
chewy a ɛyɛ dɛ;chewy
chi;chi
chiapas na ɔkyerɛwee;Chiapas
chiaroscuro na ɛyɛ adwuma;chiaroscuro
chiasmus a wɔfrɛ no chiasmus;chiasmus
chiba na ɔkyerɛwee;Chiba
chic;chic
chicago;Chicago
chickadee a wɔde yɛ aduan;chickadee
chickasaw na ɛwɔ hɔ;Chickasaw
chiclayo na ɔkyerɛwee;Chiclayo
chicory a wɔde yɛ aduan;chicory
chiffchaff a ɛyɛ chiffchaff;chiffchaff
chiffon a wɔde yɛ nneɛma;chiffon
chigger;chigger
chignon a wɔfrɛ no chignon;chignon
chihuahua na wɔfrɛ no chihuahua;Chihuahua
chilblain a wɔfrɛ no chilblain;chilblain
chile;Chile
chilefo flamingo a wɔfrɛ no flamingo;Chilean flamingo
chilefo kasa;Chilean
chilefo ɔkɔre;Chilean eagle
chilefosom;Chileanism
chili;chili
chili akutu;chili pepper
chili con carne na ɛyɛ adwuma;chili con carne
chili ngo a wɔde yɛ;chili oil
chiliasm a wɔde di dwuma;chiliasm
chill out;chill out
chime a ɛyɛ dɛ;chime
