Saami;Saamifoɔ
salesperson;adetɔnfo a ɔyɛ adetɔnfo
saleswoman;ɔbea a ɔtɔn nneɛma
salicylate;salicylate a wɔde yɛ aduru
salicylic acid;salicylic acid a wɔde yɛ aduru
saline;nkyene a wɔde yɛ adwuma
salinity;nkyene a ɛwɔ mu
salinize;nkyene a wɔde hyɛ mu
saliva;nnompe a wɔde gu mu
salivary gland;ntini a ɛma nnompe
salivary;nnompe a wɔde gu mu
salivate;nnompe a wɔde hyɛ mu
salivation;nnompe a wɔtow gu
sallet;sallet a wɔde yɛ adwuma
salmon;saamɔn
salmonberry;salmonberry a wɔfrɛ no salmonberry
salo;salo
salon;salon
salsa;salsa a wɔfrɛ no salsa
salsatheque;salsatheque a wɔde yɛ nneɛma
salt cellar;nkyene a wɔde gu mu
salt cod;nkyene a wɔde yɛ cod
salt lick;nkyene lick
salt marsh hay;nkyene atɛkyɛ mu sare
salt marsh;nkyene atɛkyɛ
salt of the earth;asase so nkyene
salt pan;nkyene kyɛnsee
salt shaker;nkyene a wɔde wosow
salt;nkyene
salted;nkyene a wɔde ahyɛ mu
saltgrass;nkyene sare
saltine;nkyene a wɔde yɛ adwuma
saltiness;nkyene a ɛyɛ nkyene
salting;nkyene a wɔde hyɛ mu
salty;nkyene a ɛyɛ nkyene
salubrious;salubrious a ɛyɛ den
Saluki;Saluki na ɔkyerɛwee
salutary;salutary
salute;nkyia
Salvador;Salvador
Salvadoran;Salvadorni
salvage;salvage a wɔde gye nkurɔfo
Salvation Army;Nkwagye Asraafo
salvation;nkwagye
salve;aduru a wɔde sa yare
salvo;salvo
Salzburg;Salzburg na ɛwɔ hɔ
samara;samara
Samaritan;Samariani
samarium;samarium a ɛwɔ hɔ
Samarkand;Samarkand na ɔkyerɛwee
samba;samba
sambadrome;sambadrome a ɛwɔ hɔ
same old story;asɛm dedaw koro no ara
same to you;saa ara na wo nso
same;saa ara
Sami;Samifoɔ
Sammarinese;Sammarinefo kasa
Samoa;Samoa
Samoan;Samoanfo
Samogitia;Samogitia na ɛyɛ saa
Samogitian;Samogitianfo a wɔyɛ saa
samosa;samosa a wɔde di dwuma
samovar;samovar
Samoyedic;Samoyedic kasa mu
sampan;sampan
samphire;samphire (samphire) a wɔfrɛ no samphire
sample;nhwɛsoɔ
sampling;nhwɛsode a wɔde yɛ adwuma
Samson;Samson
Samuel;Samuel
samurai;samuraifoɔ
San Antonio;San Antonio na ɛwɔ hɔ
San Diegan;San Diego na ɛwɔ hɔ
San Francisco;San Francisco na ɛwɔ hɔ
San Jose;San Jose na ɛwɔ hɔ
San José;San José na ɛwɔ hɔ
San Luis Potosí;San Luis Potosí na ɔkyerɛwee
San Marino;San Marino na ɛwɔ hɔ
San Melchor Betaza;San Melchor Betaza na ɔkyerɛwee
San Salvador;San Salvador na ɛwɔ hɔ
San Sebastián;San Sebastián na ɔkyerɛwee
Sana'a;Sana'a
sanation;sanation a wɔde yɛ adwuma
sanatorium;ayaresabea a wɔhwɛ ayarefo
sanctify;tew ho
sanctimonious;kronkronyɛ
sanction;sanction a wɔde ma
sanctuary city;kronkronbea kurow
sanctum sanctorum;kronkronbea kronkronbea
sand cat;anhwea cat
sand crab;anhwea krak
sand dune;anhwea a ɛwɔ hɔ
sand martin;anhwea a wɔfrɛ no martin
sand;anwea
sandal;mpaboa a wɔde yɛ mpaboa
sandalwood;sandalwood dua a wɔde yɛ
sandbag;anhwea bag
sandbank;anhwea a ɛwɔ hɔ
sandboarding;sandboarding a wɔde yɛ adwuma
sandbox;anhwea adaka
sandcastle;anhwea abankɛse
sander;sander a wɔde yɛ sander
sanderling;sanderling a wɔfrɛ no sanderling
sandfly;anhwea mu nwansena
sandgrouse;anhwea a wɔfrɛ no sandgrouse
sandhi;sandhi
Sandinista;Sandinista na ɔkyerɛwee
sandman;anhwea ho nipa
sandpaper;sandpaper a wɔde yɛ adwuma
sandpiper;sandpiper a wɔfrɛ no sandpiper
sandstone;anhweatam
sandstorm;anhwea a ɛyɛ hu
sandwich;sandwich
sandy;anhweatam
sane;sane
sangria;sangria
sanguine;sanguine a ɛyɛ den
sanguinolent;sanguinolent a ɛma mogya tu
sanitary napkin;ahotew ho ntama a wɔde kyekyere nneɛma ho
sanitary;ahotew ho nhyehyɛe
sanitize;sanitize a wɔde hyɛ mu
Sanskrit;Sanskrit
Santa Claus;Santa Claus na ɔkyerɛwee
Santa Fe;Santa Fe na ɛwɔ hɔ
Santa Fé;Santa Fé
Santiago;Santiago
Santiam berry;Santiam nnuaba
Santo Domingo;Santo Domingo na ɔkyerɛwee
Santonian;Santonianfo na wɔte saa
saola;saola
sap;sap
sapling;dua a wɔde yɛ nnuadewa
sapodilla;sapodilla a wɔfrɛ no sapodilla
saponify;saponify
saponin;saponin a wɔde di dwuma
sapper;sapper
Sapphic;Sapphic na ɔkyerɛwee
sapphire;safir a wɔde yɛ nneɛma
sapphism;saphism a wɔde di dwuma
Sappho;Sappho na ɔkyerɛwee
Sapporo;Sapporo na ɔkyerɛwee
saprophyte;saprofyte a wɔde yɛ aduru
saprophytic;saprophytic a wɔde yɛ aduru
sapsucker;sapsucker a ɔnom nsuo
sapwood;nnua a wɔde sapwood ayɛ
Saracen;Saracenfo na ɔkyerɛwee
Saragossan;Saragossan na ɔkyerɛwee
Saraguro;Saraguro na ɔkyerɛwee
Sarah;Sarah
Sarai;Sarai
Sarajevan;Sarajevan na ɔkyerɛwee
Saratov;Saratov na ɔkyerɛwee
sarcasm;kasatia a wɔde di dwuma
sarcastic;atweetwee
sarcastically;wɔ kasatia mu
sarcocarp;sarcocarp a wɔfrɛ no sarcocarp
sarcoma;sarcoma a ɛma obi ho kyere no
sarcomere;sarcomere a wɔfrɛ no sarcomere
sarcophagus;sarcophagus a wɔde hyɛ nipadua mu
sardine;sardine a wɔde yɛ nneɛma
Sardinia;Sardinia na ɛwɔ hɔ
Sardinian;Sardinia kasa
sardonic;sardonic a wɔde di dwuma
sardonically;wɔ ɔkwan a ɛyɛ sardonically so
Sargon;Sargon na ɔkyerɛwee
sari;sari
sarin;sarin
Sarkozy;Sarkozy na ɔkyerɛwee
sarmentose;sarmentose a wɔfrɛ no sarmentose
sarong;sarong
SARS;SARS
sarsaparilla;sarsaparilla na ɛyɛ
sartorial;sartorial a wɔde di dwuma
sartorius;sartorius a wɔfrɛ no sartorius
sash;sash
sashimi;sashimi
Saskatchewan;Saskatchewan na ɛwɔ hɔ
sasquatch;sasquatch a wɔde hyɛ obi nsa
sass;sass
sassafras;sassafras na ɛyɛ
sassy;anoɔya
Satan;Satan
satanic;satan de
Satanism;Satansom
satay;satay
satchel;satchel a wɔde hyɛ mu
sate;sate
sateen;sateen
satellite dish;satellite dish a wɔde di dwuma
satellite town;satellite kurow no
satellite;satellite so
satiate;satiate
satiety;aduan a ɛyɛ dɛ
satin;satin a wɔde satin
satire;aseresɛm
satirical;aseresɛm a wɔde di dwuma
satirically;wɔ aseresɛm kwan so
satisfaction;deɛ ɛso
satisfactorily;wɔ ɔkwan a ɛma abotɔyam so
satisfactory;a ɛma abotɔyam
satisfied;amen
satisfy;so
satisfying;ɛyɛ
satrap;satrap na ɔyɛ
saturate;saturate a ɛyɛ den
saturation;saturation a ɛyɛ den
Saturday;Memeneda
Saturn;Saturn a wɔfrɛ no Saturn
saturnal;saturnal a ɛyɛ saturnal
saturnine;saturnine a wɔde yɛ nneɛma
satyr;satyr a ɛyɛ satyr
satyriasis;satyriasis a ɛma obi nya satyriasis
sauce;sauce a wɔde yɛ aduan
saucepan;saucepan a wɔde yɛ aduan
saucer;saucer a wɔde yɛ saucer
Saudi Arabia;Saudi Arabia na ɛwɔ hɔ
Saudi Arabian;Saudi Arabia kasa mu
Saudi;Saudifoɔ
sauerkraut;sauerkraut a wɔde yɛ aduan
Saul;Saul
sauna;sauna
saunter;saunter a wɔde di dwuma
sausage;sɔsegyi
sauté;sauté na ɛyɛ
savage;teteni
savanna;savanna
save;kora
saving;sikakorabea
savings bank;sikakorabea a wɔde sie
savior;agyenkwa
saviour sibling;agyenkwa nua
savory;a ɛyɛ dɛ
Savoy;Savoy na ɔkyerɛwee
savvy;savvy
saw set;saw set
saw;hunuu
sawbones;nnompe a wɔde saw ayɛ
sawdust;sawdust a wɔde sawdust
sawhorse;sawhhorse a wɔfrɛ no sawhhorse
sawm;sawm
sawmill;nnua a wɔde twa nnua
saxifrage;saxifrage a wɔfrɛ no saxifrage
Saxon;Saxonfo kasa
Saxony;Saxony na ɛwɔ hɔ
saxophone;saxophone a wɔde bɔ nnwom
saxophonist;sankubɔfo a ɔbɔ sanku
say goodbye;ka ho asɛmpa
say grace;ka adom
say;ka
saying;ka sɛ
Saône;Saône na ɔkyerɛwee
scab;akisikuru
scabbard;scabbard a wɔde hyɛ nipadua mu
scabies;akisikuru
scaffold;scaffold a wɔde yɛ nneɛma
scaffolding;scaffolding a wɔde yɛ nneɛma
scalability;scalability a wɔde yɛ adwuma
scalable;scalable a wotumi sesa
scalar;scalar a ɛyɛ scalar
scald;scald a ɛyɛ hyew
scale model;nsenia nhwɛsode
scale;susudua
scalene;scalene a wɔde yɛ nneɛma
scales;nsenia a wɔde yɛ nneɛma
scalesia;scalesia a ɛyɛ mmerɛw
scallion;scallion a wɔfrɛ no scallion
scallop;scallop a wɔfrɛ no scallop
scalp;ti nhwi
scalpel;scalpel a wɔde hyɛ nipadua mu
scalper;scalper a ɔyɛ ɔbarima
scaly;a ɛyɛ nsensanee
scam;bukata
scamper;scamper a wɔde tu mmirika
scan;scan (scan) a wɔde yɛ adwuma
scandal;aniwusɛm
scandalous;aniwusɛm
Scandinavia;Scandinavia na ɛwɔ hɔ
Scandinavian;Scandinaviafo kasa
scandium;scandium a ɛyɛ hu
Scania;Scania na ɛwɔ hɔ
scanlation;scanlation a wɔde yɛ nneɛma
scanner;scanner a wɔde yɛ nneɛma
scanty;kakraa bi na ɛwɔ hɔ
scapegoat;afɔrebɔde a wɔde bɔ afɔre
scapular;scapular a ɛwɔ nipadua no mu
scar tissue;akuru ntini
scar;kam
scarab;scarab a ɛyɛ scarab
scarce;ho kɔ atwee
scarcely;ɛkame ayɛ sɛ
scarcity;nea ɛho yɛ na
scare campaign;ɔsatu a wɔde bɔ hu
scare quote;scare asɛm a wɔafa aka
scare;ehu aka obi
scarecrow;scarecrow a ɛyɛ hu
scared;suro
scarf;duku
scarlet fever;atiridiinini a ɛyɛ kɔkɔɔ
scarlet;kɔkɔɔ
SCART;SCART na ɛyɛ SCART
scary;ɛyɛ hu
scathe;scathe a ɛyɛ hu
scathing;a ɛyɛ yaw
scatter;apetepete
scatterbrain;amemene a wɔabɔ apete
scattered;apete
scavenger;scavenger a ɔsɛe nneɛma
scenario;tebea a ɛyɛ hu
scene;beaeɛ
scenery;beaeɛ
scenic;a ɛyɛ fɛ
scent;nka
scepticist;akyinnyegyefo
sceptre;ahemfie poma
schedule;hyehyɛberɛ
Scheherazade;Scheherazade na ɔkyerɛwee
Scheldt;Scheldt na ɔkyerɛwee
schematic;schematic a wɔde ayɛ nhyehyɛe
schematically;wɔ nhyehyɛe kwan so
schematize;yɛ nhyehyɛe
scheme;nhyehyɛe
scheming;atirimɔdensɛm a wɔde di dwuma
Schengen Area;Schengen Mpɔtam hɔ
schilling;schilling a wɔde kyerɛkyerɛ nneɛma mu
schism;mpaapaemu
schist;schist a ɛyɛ mmerɛw
schistosomiasis;schistosomiasis a ɛma obi ho kyere no
schizoaffective;schizoaffective a ɛma obi yɛ ade tra so
schizocarp;adwenemhaw a wɔfrɛ no schizocarp
schizophrenia;adwenemhaw a ɛma obi yɛ ade tra so
schizophrenic;adwenemhaw a ɛma obi yɛ ade tra so
Schlemm's canal;Schlemm asubɔnten no
Schleswig-Holstein;Schleswig-Holstein na ɔkyerɛwee
schnitzel;schnitzel na ɔkyerɛwee
schnozzle;schnozzle
scholar's mate;nhomanimfo hokafo
scholar;nhomanimfo
scholarliness;nhomanimfo a wɔyɛ
scholarly;nhomanimfo
scholarship;sika a wɔde ma wɔ adesua mu
scholasticism;nhomasua ho adesua
school bus yellow;sukuu bɔs yɛ kɔkɔɔ
school bus;sukuu bɔs
school of thought;sukuu a wɔde susuw nneɛma ho
school shark;sukuu mu akraman
school uniform;sukuu ntade
school-leaver;obi a wagyae sukuu
school;sukuu
schoolchild;sukuuni abofra
schoolmate;sukuuni yɔnko
schoolwork;sukuu adwuma
schooner;schooner a wɔde fa nsu mu
Schrödinger's cat;Schrödinger a ɔyɛ ɔkraman
schwa;schwa
sciatic nerve;sciatic ntini a ɛma obi ho yɛ hyew
science center;nyansahu adwumayɛbea
science fiction;nyansahu mu ayɛsɛm
science park;nyansahu mu abɔnten so
science;saense
scientific method;nyansahu mu kwan a wɔfa so yɛ adwuma
scientific name;nyansahu mu din
scientific notation;nyansahu mu nkyerɛwde
scientific research;nyansahu mu nhwehwɛmu
scientific;nyansahu mu nsɛm
scientifically;wɔ nyansahu mu
scientificity;nyansahu mu nsɛm
scientist;saenseni
scientocracy;nyansahu mu nniso
Scientology;Nyansahu ho adesua
scimitar;scimitar a wɔde kyerɛw nsɛm
scion;scion a ɛyɛ scion
scissor;ntwamutam
scissoring;scissoring a wɔde twitwiw nneɛma
scissors;apasoɔ
sclerenchyma;sclerenchyma a ɛma obi ho yɛ hyew
scleroderma;scleroderma a ɛyɛ mmerɛw
sclerosis;akisikuru a ɛma obi ho kyere no
scoff;di fɛwdi
scold;twi anim
scoliosis;scoliosis a ɛma obi ho kyere no
sconce;sconce a ɛyɛ fɛ
scone;scone
scoop;scoop a wɔde hyɛ mu
scooter;skuter a wɔde di dwuma
scope;baabi a ano pem
scorch;scorch a ɛyɛ hyew
score off;score off
score;aba
scoreboard;nkontabuo kyerɛwpon
scorn;animtiaabu
scorned;animtiaabu
scornful;animtiaabu
Scorpio;Scorpio a ɛwɔ hɔ
scorpion;akekantwɛre
scorpionfish;akraman a wɔfrɛ wɔn scorpionfish
Scorpius;Scorpius a wɔfrɛ no Scorpius
scot-free;scot-free na ɛnyɛ adwuma
Scot;Scotlandni
Scotch hands;Scotch nsa a wɔde yɛ adwuma
scoter;scoter a wɔde di dwuma
Scotland Yard;Scotland Yard na ɛwɔ hɔ
Scotland;Scotland
Scots;Scotlandfo
Scotsman;Scotlandni
Scotswoman;Scotlandni bea bi
Scottish Deerhound;Scotlandfo Deerhound a wɔfrɛ wɔn Deerhound
Scottish Gaelic;Scotlandfo Gaelic kasa
Scottish;Scotland kasa
scoundrel;ɔkwasea a ɔyɛ ɔkwasea
scourge;ɔyaredɔm
scouring pad;scouring pad a wɔde hwehwɛ nneɛma mu
scouting;scouting a wɔyɛ
scowl;animtiaabu
Scrabble;Scrabble a wɔde kyerɛw nsɛm
scram;scram a ɛyɛ scram
scramble;scramble a wɔde di dwuma
scrambled egg;egg a wɔayam no yiye
scrap;nnadego
scrape together;scrape bom
scrape;scrape a wɔde twitwiw nneɛma
scrapie;scrapie a wɔde hyɛ nipadua mu
scrapyard;scrapyard a wɔde nneɛma gu mu
scratch;titi
scratching post;scratching post a wɔde twitwiw nneɛma
scrawl;scrawl a wɔde kyerɛw nsɛm
scrawny;a ɛyɛ mmerɛw
scream queen;nteɛteɛm ɔhemmaa
scream;team
screamer;obi a ɔteɛteɛm
scree;scree
screech owl;screech ɔkraman
screech;nteɛteɛm
screed;screed a wɔde hyɛ mu
screen printing;screen a wɔde tintim nhoma
screen;skriin
screenplay;screenplay a wɔde kyerɛw nsɛm
screensaver;screensaver a wɔde kyerɛw nsɛm
screenshot;screenshot a wɔde kyerɛw nsɛm
screenwriter;ɔkyerɛwfo a ɔkyerɛw sini
screw thread;screw asaawa a wɔde hyɛ mu
screw you;screw wo
screw;bot
screwdriver;skrudraiver a wɔde yɛ adwuma
screwed;wɔde nkɔnsɔnkɔnsɔn ayɛ
scribble;nkyerɛwee a wɔde kyerɛw nsɛm
scribe;ɔkyerɛwfo
script;krataa
scripture;kyerɛwsɛm
scrivener;ɔkyerɛwfo
scrofula;scrofula a wɔde kyerɛw nsɛm
scroll bar;scroll bar no
scroll;nhoma mmobɔwee
scrooge;scrooge a wɔfrɛ no scrooge
scrotal;awotwaa mu
scrotum;scrotum a ɛwɔ awotwaa mu
scrounge;scrounge a ɛyɛ den
scrub;scrub a wɔde hyɛ mu
scruff;scruff a wɔde yɛ nneɛma
scruffy;scruffy a ɛyɛ fɛ
scruple;adwenem naayɛ
scrupulously;ahwɛyiye so
scrutinize;hwehwɛ mu yiye
scrutiny;nhwehwɛmu a wɔyɛ no yiye
scry;scry
scuba diving;scuba a wɔde wɔn ho hyɛ mu
scuff;scuff a wɔde twitwiw nneɛma
scuffle;ntɔkwaw
scull;scull a ɛwɔ nipadua no mu
sculpin;sculpin a ɛyɛ fɛ
sculptor;odumgyafo
sculptress;odumgyafo
sculptural;nsusuwso a wɔde yɛ nneɛma
sculpture;nsusuwso
scum;scum a ɛyɛ fĩ
scupper;scupper a wɔde yɛ nneɛma
scurvy;scurvy a ɛyɛ mmerɛw
scuttle;scuttle a ɛyɛ hu
Scutum;Nkwammoaa a wɔfrɛ no Scutum
Scylla;Scylla na ɔkyerɛwee
scythe;akuturuku
Scythia;Scythia na ɔkyerɛwee
Scythian;Skitefo
sea anemone;ɛpo mu aduru a wɔfrɛ no anemone
sea bass;ɛpo mu akraman
sea change;ɛpo mu nsakrae
sea cow;ɛpo mu nantwi
sea cucumber;ɛpo mu kukuruku
sea holly;ɛpo mu holly
sea horse;ɛpo mu pɔnkɔ
sea ice;po mu nsukyenee
sea lamprey;po mu lamprey a wɔfrɛ no lamprey
sea level;ɛpo mu nsuo a ɛyɛ den
sea lily;po mu sukooko
sea lion;po mu gyata
sea monster;ɛpo mu aboa kɛse
Sea of Azov;Azov Po no so
Sea of Japan;Japan Po so
Sea of Marmara;Marmara Po no so
Sea of Okhotsk;Po a ɛwɔ Okhotsk
sea otter;po mu ɔkraman
sea serpent;ɛpo mu ɔwɔ
sea turtle;ɛpo mu mpɔtorɔ
sea urchin;po mu akraman
sea;ɛpo
seabird;ɛpo mu anomaa
seaborgium;po so hyɛn mu
seadog;po mu akraman
seafarer;po so hyɛn mu adwumayɛfo
seafood;ɛpo mu nnuan
seagull;seagull a wɔfrɛ no seagull
seal;nsɔano
Sealand;Sealand a ɛwɔ hɔ
sealed;wɔasɔw ano
sealing wax;wax a wɔde siesie nneɛma
seam;seam a wɔde ahyɛ mu
seaman;po so hyɛn mu adwumayɛfo
seamanship;po so hyɛn mu adwumayɛfo
seamless;a ɛnyɛ den koraa
seamount;po so bepɔw so
seamstress;ɔpamfo a ɔpam ade
seaplane;po so wimhyɛn a wɔde fa po so
seaquake;po mu asasewosow
sear;sear
search engine;afiri a wɔde hwehwɛ nneɛma mu
search warrant;krataa a wɔde hwehwɛ nneɛma mu
search;hwehwɛ
searcher;hwehwɛfo
searchlight;kanea a wɔde hwehwɛ nneɛma mu
seashell;ɛpo mu abon
seasickness;po mu yare
seaside;mpoano
season ticket;bere mu tekiti
season;berɛ
seasonably;bere a ɛfata
seasonal;bere a wɔde yɛ adwuma
seasoned;seasoned
seasoning;aduru a wɔde yɛ aduan
seat belt;ahobammɔ bɛlt
seat of government;aban no agua
seat;akonnwa
seawall;po so ɔfasu
seawater;ɛpo mu nsuo
seaweed;ɛpo mu nnua
sebaceous gland;sebaceous gland a ɛwɔ nipadua no mu
sebaceous;srade a ɛyɛ srade
Sebastian;Sebastian na ɔkyerɛwee
seborrhea;seborrhea a ɛma mogya tu
sebum;sebum a ɛyɛ srade
secant;secant a wɔde di dwuma
secede;twe wɔn ho fi wɔn ho
secession;twe a wɔtetew wɔn ho
second coming;mmae a ɛto so abien
second cousin;ne wɔfase a ɔto so abien
second fiddle;sanku a ɛto so abien
second language;kasa a ɛto so abien
second lieutenant;ɔsraani panyin a ɔto so abien
second nature;abɔde a ɛto so abien
second wind;mframa a ɛto so abien
Second World;Wiase a Ɛto so Abien
second-growth forest;kwae a ɛto so abien a enyin
second-guess;nea ɛto so abien a wɔde susuw nneɛma ho
second-hand smoke;wusiw a wɔde di dwuma dedaw
second-person plural;onipa dodow kabea a ɛto so abien
second;deɛ ɛtɔ so mmienu
secondarily;nea ɛto so abien
secondary school;ntoaso sukuu
secondary;nea ɛto so abien
secondhand;nea wɔde di dwuma wɔ ɔkwan a ɛto so abien so
secondment;secondment a wɔde ma
secrecy;kokoamsɛm a wɔde di dwuma
secret agent;kokoam ɔnanmusifo
secret police;sum ase polisifo
secret Santa;kokoam Santa
secret service;kokoam adwuma
secret;asumasɛm
secretariat;ɔkyerɛwfo adwumayɛbea
secretary bird;ɔkyerɛwfo anomaa
Secretary of State;Ɔman Ɔkyerɛwfo
secretary;ɔkyerɛwfo
secrete;kokoam nsɛm
secretion;a wɔde sie
secretive;kokoamsɛm
secretly;wɔ kokoam
sect;kuw bi
section;ɔfa
sector;sector no mu
sectoral;sectoral mu
secular;wiasefo de
secularism;wiase nniso
secularity;wiasefo a wɔyɛ adwumaden
secularize;wiasefo de wɔn ho hyɛ mu
secure;pampee
securitization;ahobammɔ ho nhyehyɛe
security deposit;ahobammɔ a wɔde sie
security service;ahobammɔ adwumayɛbea
security;bammɔ
sedan;sedan a wɔde di dwuma
sedative;aduru a ɛma obi dwo
sedentary;obi a ɔtra ase
sedge;sedge
sediment;nsu a ɛtɔ gu fam
sedimentary rock;ɔbotan a ɛyɛ nsu a ɛtɔ gu fam
sedimentology;nsu a ɛtɔ gu fam ho adesua
sedition;atuatew a wɔyɛe
seditious;atuatewfo
sedoheptulose;sedoheptulose a ɛma nipadua no yɛ adwuma
seduce;adaadaa obi
seduction;nnaadaasɛm
seductive;a ɛdaadaa nkurɔfo
seductress;ɔdaadaafo
see double;hwɛ mmɔho abien
see Naples and die;hwɛ Naples na wu
see stars;hwɛ nsoromma
see the light of day;hwɛ awia hann
see through;hwɛ mu yiye
see you later;akyire yɛbɛhyia
see you soon;yɛbɛhyia bio
see you;hwɛ wo
see;hwɛ
seed pit;aba amoa
seed;aba
seedling;nnuadewa a wɔde yɛ nnuadewa
seedy;seedy
seeing is believing;hu yɛ gyidi
seeing;a wohu
seek;hwehwɛ
seeker;hwehwɛfo
seem;ayɛ sɛ
seemliness;sɛnea ɛte sɛ nea ɛyɛ
seemly;ɛte sɛ nea ɛyɛ
seep;seep
seepage;nsuo a ɛtwetwe nsuo
seer;ɔdehufo
seesaw;seesaw
seethe;seethe
segment;ɔfã bi
Segorbe;Segorbe na ɔkyerɛwee
Segovia;Segovia na ɛwɔ hɔ
segregate;tetew mu
segregation;mpaapaemu a wɔtetew mu
segue;segue
sei whale;sei whale a wɔfrɛ no whale
Seine;Seine na ɔkyerɛwee
seism;asasewosow a ɛwosow
seismological;asasewosow ho adesua
seismologist;asasewosow ho ɔbenfo
seismology;asasewosow ho adesua
seismometer;asasewosow ho kyerɛwtohɔ
seitan;seitan
seize the day;gye da no
seize up;seize up
seize;gye ɔhyɛ so
seizure;gye no ɔhyɛ so
Selangor;Selangor na ɔkyerɛwee
selcouth;pɛsɛmenkominya
seldom;ntaa nsi
